Date	Item_ID	Dept	Class	Unit_Sold	$_Sold	Total_Cost
9/13/2019	03-26-0001-01-00	FITNESS	WEIGHTS	1	59	20.98999977
9/13/2019	03-27-0301-01-00	FITNESS	LOWER BODY	1	50	14.98999977
9/13/2019	03-32-0402-00-00	GEAR	OUTERWEAR	3	177	39.71999931
9/13/2019	03-35-0101-01-00	FITNESS	WEIGHTS	2	138	30
9/13/2019	03-74-0002-01-00	ELECTRO	AUDIO	4	100	19
9/13/2019	03-74-0003-01-00	ACCESSORIES	IMPULSE	1	99	24
9/13/2019	03-81-0002-00-00	ESSENTIALS	BODY CARE	4	48	24
9/13/2019	03-81-0101-00-00	ESSENTIALS	BODY CARE	2	20	8.800000191
9/13/2019	04-15-0105-01-00	GEAR	TOPS	2	16	5.559999943
9/13/2019	04-82-0001-00-12	ESSENTIALS	BATH	1	69	31.25
9/13/2019	05-24-0101-01-00	FITNESS	LOWER BODY	1	35	9.949999809
9/13/2019	08-28-0201-00-00	FITNESS	MAT	8	297.420002	87.59999847
9/13/2019	08-31-0201-00-00	ACCESSORIES	RINGS	2	34	13.5
9/13/2019	08-31-0203-00-00	ACCESSORIES	RINGS	6	120	36
9/13/2019	08-34-0206-01-00	GEAR	OUTERWEAR	1	115	42.08000183
9/13/2019	08-34-0210-00-00	GEAR	OUTERWEAR	1	25	11.47999954
9/13/2019	13-82-0101-01-00	ESSENTIALS	BATH	1	26	8.880000114
9/13/2019	17-24-0106-11-00	FITNESS	LOWER BODY	1	39	9.449999809
9/13/2019	22-82-1301-00-12	ESSENTIALS	BATH	1	45	17.29999924
9/13/2019	23-33-0201-00-00	GEAR	OUTERWEAR	3	48	20.25
9/13/2019	23-82-0101-01-00	ESSENTIALS	BATH	3	126	37.14000034
9/13/2019	23-82-1301-01-00	ESSENTIALS	BATH	1	16	4.880000114
9/13/2019	33-81-1701-00-00	ESSENTIALS	BODY CARE	2	16	7.415999889
9/13/2019	38-51-0101-01-00	ELECTRO	ELECTRO ACCESSORIES	5	495	187.0999908
9/13/2019	40-33-0001-00-00	GEAR	OUTERWEAR	6	594	215.8200073
9/13/2019	40-51-0001-01-12	ELECTRO	ELECTRO ACCESSORIES	1	99	37.41999817
9/13/2019	40-74-0001-01-00	ELECTRO	AUDIO	1	29	10.77000046
9/13/2019	42-74-0004-00-00	ACCESSORIES	IMPULSE	1	35	15
9/13/2019	43-85-0001-01-00	BEDDING	SHEETS	1	189	92
9/14/2019	01-21-1004-14-12	COSMETICS	MASKS	4	236	81.19999695
9/14/2019	01-21-1006-15-12	COSMETICS	MASKS	1	55	21.22999954
9/14/2019	01-21-1008-14-12	COSMETICS	MASKS	2	118	46.04000092
9/14/2019	01-21-1013-14-12	COSMETICS	MASKS	1	79	19.94000053
9/14/2019	01-21-2001-14-12	COSMETICS	MASKS	1	89	32.52000046
9/14/2019	01-21-2006-14-12	COSMETICS	MASKS	2	166.3899994	54.34000015
9/14/2019	01-27-0302-01-12	FITNESS	LOWER BODY	1	74	20.79999924
9/14/2019	01-28-1301-03-12	FITNESS	MAT	1	16	7.170000076
9/14/2019	01-29-1301-01-00	FITNESS	ACCESSORIES	1	32	5.5
9/14/2019	01-31-0103-01-00	ACCESSORIES	RINGS	3	60	13.5
9/14/2019	01-31-0104-01-00	AUTOMOTIVE	RINGS	4	85.98999977	24.79999924
9/14/2019	01-31-0105-01-00	AUTOMOTIVE	RINGS	3	45	19.79999971
9/14/2019	01-31-0106-01-00	AUTOMOTIVE	RINGS	1	25	6.800000191
9/14/2019	01-31-0108-01-00	AUTOMOTIVE	RINGS	1	22	5.25
9/14/2019	01-31-0109-01-00	AUTOMOTIVE	RINGS	4	88	25.39999962
9/14/2019	01-40-0401-00-00	SLEEPWEAR	INTIMATES	1	18	5.400000095
9/14/2019	01-81-1601-00-00	ESSENTIALS	BODY CARE	5	40	16.00000024
9/14/2019	01-83-1601-00-00	ESSENTIALS	ORAL CARE	5	45	21.50000095
9/14/2019	01-83-1602-00-00	ESSENTIALS	ORAL CARE	1	9	3.980000019
9/14/2019	01-83-1603-00-00	ESSENTIALS	ORAL CARE	3	42	8.25
9/14/2019	02-31-0101-01-00	AUTOMOTIVE	RINGS	1	9.479999542	1.75
9/14/2019	02-31-0401-00-00	GEAR	OUTERWEAR	1	36	7.949999809
9/14/2019	02-32-0401-00-00	GEAR	OUTERWEAR	1	65	16.20000076
9/14/2019	02-40-0401-00-00	SLEEPWEAR	INTIMATES	1	15	2.950000048
9/14/2019	02-40-1301-00-00	SLEEPWEAR	INTIMATES	2	30	7.5
9/14/2019	02-62-1401-01-00	FITNESS	CYCLING	1	29	9.75
9/14/2019	02-71-1401-01-00	ACCESSORIES	IMPULSE	3	195	36
9/14/2019	02-71-1403-01-12	ACCESSORIES	IMPULSE	1	109	33.15000153
9/14/2019	02-72-0101-01-00	ACCESSORIES	IMPULSE	1	22	5.599999905
9/14/2019	02-73-0002-01-00	ACCESSORIES	BELTS	3	108	33
9/14/2019	02-73-1302-01-00	ACCESSORIES	BELTS	1	3.99000001	1.399999976
9/14/2019	02-81-0001-00-00	ESSENTIALS	BODY CARE	1	18	5.5
9/14/2019	03-22-0002-01-12	FITNESS	LOWER BODY	1	62	30.63999939
9/14/2019	03-22-0003-01-00	FITNESS	APPAREL	1	99	32
9/14/2019	03-24-0302-01-00	FITNESS	LOWER BODY	1	25	10.5
9/14/2019	03-32-0402-00-00	GEAR	OUTERWEAR	4	236	52.95999908
9/14/2019	03-40-0101-01-12	SLEEPWEAR	INTIMATES	1	19	6
9/14/2019	03-64-0401-01-00	FITNESS	CYCLING	1	550	225
9/14/2019	03-72-0501-01-00	ACCESSORIES	IMPULSE	2	44	6.400000095
9/14/2019	03-74-0002-01-00	ELECTRO	AUDIO	2	50	9.5
9/14/2019	03-81-0002-00-00	ESSENTIALS	BODY CARE	4	48	24
9/14/2019	03-81-0101-00-00	ESSENTIALS	BODY CARE	1	10	4.400000095
9/14/2019	04-82-0001-00-12	ESSENTIALS	BATH	1	69	31.25
9/14/2019	08-28-0201-00-00	FITNESS	MAT	1	38	10.94999981
9/14/2019	08-31-0202-00-00	ACCESSORIES	RINGS	5	44.09000015	11.84999943
9/14/2019	08-31-0203-00-00	ACCESSORIES	RINGS	6	120	36
9/14/2019	08-34-0205-00-00	GEAR	OUTERWEAR	1	58	16.57999992
9/14/2019	08-34-0206-01-00	GEAR	OUTERWEAR	1	115	42.08000183
9/14/2019	08-34-0210-00-00	GEAR	OUTERWEAR	2	50	22.95999908
9/14/2019	10-81-0001-00-00	ESSENTIALS	BODY CARE	3	87	37.5
9/14/2019	13-81-0101-00-00	ESSENTIALS	BODY CARE	1	12	6
9/14/2019	20-87-0001-00	ESSENTIALS	BATH	1	3	0.720000029
9/14/2019	22-82-1301-00-12	ESSENTIALS	BATH	2	90	34.59999847
9/14/2019	23-82-0101-01-00	ESSENTIALS	BATH	3	126	37.14000034
9/14/2019	33-81-1701-00-00	ESSENTIALS	BODY CARE	1	8	3.707999945
9/14/2019	38-31-0001-00-12	AUTOMOTIVE	RINGS	1	45	16.31999969
9/14/2019	38-51-0101-01-00	ELECTRO	ELECTRO ACCESSORIES	4	396	149.6799927
9/14/2019	40-24-0001-01-00	FITNESS	LOWER BODY	2	50	17.94000053
9/14/2019	40-33-0001-00-00	GEAR	OUTERWEAR	3	297	107.9100037
9/15/2019	01-21-1001-14-12	COSMETICS	MASKS	2	110	35.29999924
9/15/2019	01-21-1004-14-12	COSMETICS	MASKS	1	59	20.29999924
9/15/2019	01-21-1004-15-12	COSMETICS	MASKS	1	59	13.89999962
9/15/2019	01-21-1005-14-12	COSMETICS	MASKS	2	118	45.29999924
9/15/2019	01-21-1012-14-12	COSMETICS	MASKS	1	50	11.72000027
9/15/2019	01-21-1013-14-12	COSMETICS	MASKS	1	79	19.94000053
9/15/2019	01-21-1014-14-12	COSMETICS	MASKS	1	50	14.5
9/15/2019	01-21-1015-15-12	COSMETICS	MASKS	1	62	20.29999924
9/15/2019	01-21-2003-15-12	COSMETICS	MASKS	1	85	24.68000031
9/15/2019	01-21-2005-14-12	COSMETICS	MASKS	2	230.0800018	67.05999947
9/15/2019	01-21-2006-14-12	COSMETICS	MASKS	1	79	27.17000008
9/15/2019	01-21-4002-14-12	COSMETICS	MASKS	2	114	39.86000061
9/15/2019	01-24-0203-00-12	FITNESS	LOWER BODY	1	45	16.20999908
9/15/2019	01-27-0301-01-12	FITNESS	LOWER BODY	2	178	26
9/15/2019	01-27-0302-01-12	FITNESS	LOWER BODY	2	148	41.59999847
9/15/2019	01-28-1301-03-12	FITNESS	MAT	2	32	14.34000015
9/15/2019	01-29-1301-01-00	FITNESS	ACCESSORIES	1	32	5.5
9/15/2019	01-29-1304-01-00	FITNESS	ACCESSORIES	1	8	2.099999905
9/15/2019	01-31-0101-01-00	AUTOMOTIVE	RINGS	4	80	31.76000023
9/15/2019	01-31-0105-01-00	AUTOMOTIVE	RINGS	2	30.80000019	13.19999981
9/15/2019	01-31-0106-01-00	AUTOMOTIVE	RINGS	4	100	27.20000076
9/15/2019	01-31-0107-01-12	GEAR	OUTERWEAR	1	69	20.05999947
9/15/2019	01-31-0108-01-00	AUTOMOTIVE	RINGS	4	88	21
9/15/2019	01-31-0109-01-00	AUTOMOTIVE	RINGS	8	176	50.79999924
9/15/2019	01-40-0401-00-00	SLEEPWEAR	INTIMATES	1	18	5.400000095
9/15/2019	01-81-1601-00-00	ESSENTIALS	BODY CARE	3	24	9.600000143
9/15/2019	01-83-1601-00-00	ESSENTIALS	ORAL CARE	4	36	17.20000076
9/15/2019	01-83-1603-00-00	ESSENTIALS	ORAL CARE	2	28	5.5
9/15/2019	02-31-0103-01-00	ACCESSORIES	RINGS	2	30	5.900000095
9/15/2019	02-31-0401-00-00	GEAR	OUTERWEAR	2	72	15.89999962
9/15/2019	02-32-0101-01-00	GEAR	OUTERWEAR	3	30	6.149999857
9/15/2019	02-32-0401-00-00	GEAR	OUTERWEAR	2	130	32.40000153
9/15/2019	02-32-1101-01-00	GEAR	OUTERWEAR	3	30	19.5
9/15/2019	02-40-0001-00-00	SLEEPWEAR	INTIMATES	2	38	9
9/15/2019	02-40-0301-01-12	SLEEPWEAR	INTIMATES	5	60	14.95000005
9/15/2019	02-40-0401-00-00	SLEEPWEAR	INTIMATES	4	61.60000038	11.80000019
9/15/2019	02-54-0701-01-00	ELECTRO	ELECTRO ACCESSORIES	1	12	2.799999952
9/15/2019	02-54-1401-01-00	ELECTRO	ELECTRO ACCESSORIES	1	20	4.650000095
9/15/2019	02-61-1301-01-00	FITNESS	CYCLING	3	1197	357
9/15/2019	02-62-0401-01-12	FITNESS	CYCLING	1	109	37.84000015
9/15/2019	02-62-1401-01-00	FITNESS	CYCLING	1	29	9.75
9/15/2019	02-63-1301-01-00	FITNESS	CYCLING	1	28	6.400000095
9/15/2019	02-71-1401-01-00	ACCESSORIES	IMPULSE	3	202.6500015	36
9/15/2019	02-72-0101-01-00	ACCESSORIES	IMPULSE	3	66	16.79999971
9/15/2019	02-73-0002-01-00	ACCESSORIES	BELTS	2	72	22
9/15/2019	02-73-1402-01-12	ACCESSORIES	BELTS	1	60	16.79999924
9/15/2019	02-74-0401-01-00	ACCESSORIES	IMPULSE	1	8	1.5
9/15/2019	02-74-0405-01	ACCESSORIES	IMPULSE	1	19	4.349999905
9/15/2019	02-74-0405-01-12	ACCESSORIES	IMPULSE	1	29	11.35000038
9/15/2019	02-74-1302-01-13	ACCESSORIES	IMPULSE	3	105	24.30000114
9/15/2019	02-74-1402-01-00	ACCESSORIES	IMPULSE	1	35	12
9/15/2019	02-81-0001-00-00	ESSENTIALS	BODY CARE	1	18	5.5
9/15/2019	03-22-0001-01-12	FITNESS	APPAREL	1	69	30.63999939
9/15/2019	03-22-0002-01-12	FITNESS	LOWER BODY	2	124	61.27999878
9/15/2019	03-22-0003-01-00	FITNESS	APPAREL	3	297	96
9/15/2019	03-22-0101-01-00	FITNESS	APPAREL	1	99	30
9/15/2019	03-22-0110-01-00	FITNESS	APPAREL	4	500	192
9/15/2019	03-24-0302-01-00	FITNESS	LOWER BODY	1	25	10.5
9/15/2019	03-26-0001-01-00	FITNESS	WEIGHTS	1	59	20.98999977
9/15/2019	03-31-0102-01-00	ACCESSORIES	RINGS	2	36	8
9/15/2019	03-32-0402-00-00	GEAR	OUTERWEAR	3	183.2799988	39.71999931
9/15/2019	03-35-0101-01-00	FITNESS	WEIGHTS	1	69	15
9/15/2019	03-40-0101-01-12	SLEEPWEAR	INTIMATES	1	19	6
9/15/2019	03-52-1301-01-00	ELECTRO	COMPLETE KIT	1	140	43.25999832
9/15/2019	03-64-0401-01-12	FITNESS	CYCLING	1	999	498
9/15/2019	03-72-0501-01-00	ACCESSORIES	IMPULSE	1	22	3.200000048
9/15/2019	03-74-0002-01-00	ELECTRO	AUDIO	1	25	4.75
9/15/2019	03-74-0003-01-00	ACCESSORIES	IMPULSE	4	418.3899994	96
9/15/2019	03-81-0001-00-03	ESSENTIALS	BODY CARE	2	16	3.700000048
9/15/2019	03-81-0002-00-00	ESSENTIALS	BODY CARE	3	36	18
9/15/2019	03-81-0101-00-00	ESSENTIALS	BODY CARE	3	30	13.20000029
9/15/2019	04-13-1101-03-00	GEAR	SOCKS	1	36	11.80000019
9/15/2019	04-15-0105-01-00	GEAR	TOPS	6	48	16.67999983
9/15/2019	04-82-0001-00-00	ESSENTIALS	BATH	1	32	11.19999981
9/15/2019	04-82-0001-00-12	ESSENTIALS	BATH	1	69	31.25
9/15/2019	08-28-0201-00-00	FITNESS	MAT	4	152	43.79999924
9/15/2019	08-31-0201-00-00	ACCESSORIES	RINGS	1	17	6.75
9/15/2019	08-31-0202-00-00	ACCESSORIES	RINGS	2	12	4.739999771
9/15/2019	08-31-0203-00-00	ACCESSORIES	RINGS	8	160	48
9/15/2019	08-34-0201-00-00	GEAR	OUTERWEAR	1	23.02000046	7.440000057
9/15/2019	08-34-0206-01-00	GEAR	OUTERWEAR	1	115	42.08000183
9/15/2019	10-81-0001-00-00	ESSENTIALS	BODY CARE	2	58	25
9/15/2019	13-81-0101-00-00	ESSENTIALS	BODY CARE	1	12	6
9/15/2019	17-24-0109-11-00	FITNESS	LOWER BODY	1	15	5.760000229
9/15/2019	20-87-0001-00	ESSENTIALS	BATH	4	12	2.880000114
9/15/2019	22-82-1301-00-12	ESSENTIALS	BATH	1	45	17.29999924
9/15/2019	23-33-0201-00-00	GEAR	OUTERWEAR	2	32	13.5
9/15/2019	23-82-0101-01-00	ESSENTIALS	BATH	4	168	49.52000046
9/15/2019	23-82-1301-01-00	ESSENTIALS	BATH	1	16	4.880000114
9/15/2019	33-81-1701-00-00	ESSENTIALS	BODY CARE	1	8	3.707999945
9/15/2019	34-84-0901-01	ESSENTIALS	GLOVES	1	20	8.199999809
9/15/2019	38-31-0001-00-12	AUTOMOTIVE	RINGS	1	45	16.31999969
9/15/2019	38-51-0101-01-00	ELECTRO	ELECTRO ACCESSORIES	3	297	112.2599945
9/15/2019	38-53-1301-01-00	ELECTRO	POWER BOXES	1	25	5.010000229
9/15/2019	40-33-0001-00-00	GEAR	OUTERWEAR	6	594	215.8200073
9/16/2019	01-21-1001-14-12	COSMETICS	MASKS	1	55	17.64999962
9/16/2019	01-21-1004-14-12	COSMETICS	MASKS	2	118	40.59999847
9/16/2019	01-21-1005-14-12	COSMETICS	MASKS	3	177	67.94999886
9/16/2019	01-21-1006-15-12	COSMETICS	MASKS	2	116.6599998	42.45999908
9/16/2019	01-21-1015-15-12	COSMETICS	MASKS	1	62	20.29999924
9/16/2019	01-21-2012-14-12	COSMETICS	MASKS	1	75	16.20000076
9/16/2019	01-21-3005-14-12	COSMETICS	MASKS	1	60	14.25
9/16/2019	01-21-3006-14-12	COSMETICS	MASKS	1	78	26.93000031
9/16/2019	01-21-4001-14-12	COSMETICS	MASKS	1	55	16.39999962
9/16/2019	01-21-4002-14-12	COSMETICS	MASKS	2	114	39.86000061
9/16/2019	01-27-0302-01-12	FITNESS	LOWER BODY	1	74	20.79999924
9/16/2019	01-28-1301-03-12	FITNESS	MAT	2	33.77000046	14.34000015
9/16/2019	01-29-1301-01-00	FITNESS	ACCESSORIES	1	32	5.5
9/16/2019	01-31-0101-01-00	AUTOMOTIVE	RINGS	7	142.8400002	55.5800004
9/16/2019	01-31-0103-01-00	ACCESSORIES	RINGS	4	80	18
9/16/2019	01-31-0104-01-00	AUTOMOTIVE	RINGS	1	10.98999977	6.199999809
9/16/2019	01-31-0105-01-00	AUTOMOTIVE	RINGS	4	62.64999962	26.39999962
9/16/2019	01-31-0106-01-00	AUTOMOTIVE	RINGS	1	25	6.800000191
9/16/2019	01-31-0107-01-12	GEAR	OUTERWEAR	1	69	20.05999947
9/16/2019	01-31-0109-01-00	AUTOMOTIVE	RINGS	2	44	12.69999981
9/16/2019	01-40-0401-00-00	SLEEPWEAR	INTIMATES	2	36	10.80000019
9/16/2019	01-81-1601-00-00	ESSENTIALS	BODY CARE	4	32	12.80000019
9/16/2019	01-83-1602-00-00	ESSENTIALS	ORAL CARE	2	18	7.960000038
9/16/2019	02-31-0101-01-00	AUTOMOTIVE	RINGS	4	32	7
9/16/2019	02-31-0103-01-00	ACCESSORIES	RINGS	3	45	8.850000143
9/16/2019	02-31-0401-00-00	GEAR	OUTERWEAR	3	108	23.84999943
9/16/2019	02-32-0101-01-00	GEAR	OUTERWEAR	3	30	6.149999857
9/16/2019	02-32-0401-00-00	GEAR	OUTERWEAR	1	65	16.20000076
9/16/2019	02-32-1101-01-00	GEAR	OUTERWEAR	1	10	6.5
9/16/2019	02-40-0401-00-00	SLEEPWEAR	INTIMATES	1	15	2.950000048
9/16/2019	02-40-1301-00-00	SLEEPWEAR	INTIMATES	2	30	7.5
9/16/2019	02-61-1301-01-00	FITNESS	CYCLING	2	798	238
9/16/2019	02-63-0402-01-12	FITNESS	CYCLING	2	179.0500031	48
9/16/2019	02-63-0403-01-00	FITNESS	CYCLING	2	1045.679993	344
9/16/2019	02-63-1301-01-00	FITNESS	CYCLING	1	30.30999947	6.400000095
9/16/2019	02-71-1401-01-00	ACCESSORIES	IMPULSE	3	195	36
9/16/2019	02-71-1403-01-12	ACCESSORIES	IMPULSE	2	218	66.30000305
9/16/2019	02-72-0101-01-00	ACCESSORIES	IMPULSE	2	44	11.19999981
9/16/2019	02-73-0001-01-00	ACCESSORIES	BELTS	2	78	21.70000076
9/16/2019	02-73-0002-01-00	ACCESSORIES	BELTS	1	36	11
9/16/2019	02-73-1402-01-12	ACCESSORIES	BELTS	1	60	16.79999924
9/16/2019	02-74-0405-01-12	ACCESSORIES	IMPULSE	1	29	11.35000038
9/16/2019	02-74-1302-01-13	ACCESSORIES	IMPULSE	1	35	8.100000381
9/16/2019	03-22-0002-01-12	FITNESS	LOWER BODY	2	124	61.27999878
9/16/2019	03-22-0003-01-00	FITNESS	APPAREL	3	297	96
9/16/2019	03-22-0101-01-00	FITNESS	APPAREL	1	99	30
9/16/2019	03-22-0107-01-12	FITNESS	APPAREL	1	50	13.85000038
9/16/2019	03-22-0110-01-00	FITNESS	APPAREL	5	500	240
9/16/2019	03-31-0102-01-00	ACCESSORIES	RINGS	3	54	12
9/16/2019	03-32-0402-00-00	GEAR	OUTERWEAR	1	0	13.23999977
9/16/2019	03-33-1303-00-00	GEAR	OUTERWEAR	1	0	40.16999817
9/16/2019	03-35-0101-01-00	FITNESS	WEIGHTS	1	69	15
9/16/2019	03-64-0401-01-00	FITNESS	CYCLING	1	550	225
9/16/2019	03-72-0501-01-00	ACCESSORIES	IMPULSE	1	22	3.200000048
9/16/2019	03-81-0001-00-03	ESSENTIALS	BODY CARE	3	24	5.550000072
9/16/2019	03-81-0002-00-00	ESSENTIALS	BODY CARE	1	12	6
9/16/2019	03-81-0101-00-00	ESSENTIALS	BODY CARE	1	10	4.400000095
9/16/2019	03-85-0301-01-00	ESSENTIALS	SHEETS	1	59	21
9/16/2019	04-13-1101-03-00	GEAR	SOCKS	1	36	11.80000019
9/16/2019	04-15-0105-01-00	GEAR	TOPS	1	8	2.779999971
9/16/2019	04-82-0001-00-00	ESSENTIALS	BATH	1	32	11.19999981
9/16/2019	04-82-0001-00-12	ESSENTIALS	BATH	1	69	31.25
9/16/2019	08-28-0201-00-00	FITNESS	MAT	4	155.8100014	43.79999924
9/16/2019	08-31-0201-00-00	ACCESSORIES	RINGS	1	17	6.75
9/16/2019	08-31-0202-00-00	ACCESSORIES	RINGS	2	24	4.739999771
9/16/2019	08-31-0203-00-00	ACCESSORIES	RINGS	5	100	30
9/16/2019	08-34-0204-00-00	GEAR	OUTERWEAR	1	36	16.57999992
9/16/2019	08-34-0205-00-00	GEAR	OUTERWEAR	2	116	33.15999985
9/16/2019	08-34-0210-00-00	GEAR	OUTERWEAR	2	50	22.95999908
9/16/2019	10-81-0001-00-00	ESSENTIALS	BODY CARE	3	87	37.5
9/16/2019	13-81-0101-00-00	ESSENTIALS	BODY CARE	5	60	30
9/16/2019	17-24-0113-01-00	FITNESS	LOWER BODY	1	40	7.690000057
9/16/2019	23-82-0101-01-00	ESSENTIALS	BATH	1	42	12.38000011
9/16/2019	23-82-0102-01-00	ESSENTIALS	BATH	1	21	7.429999828
9/16/2019	33-81-1701-00-00	ESSENTIALS	BODY CARE	1	8	3.707999945
9/16/2019	38-31-0001-00-12	AUTOMOTIVE	RINGS	1	45	16.31999969
9/16/2019	38-51-0101-01-00	ELECTRO	ELECTRO ACCESSORIES	2	198	74.83999634
9/16/2019	40-33-0001-00-00	GEAR	OUTERWEAR	4	396	143.8800049
9/16/2019	40-51-0001-01-12	ELECTRO	ELECTRO ACCESSORIES	1	99	37.41999817
9/16/2019	40-54-0001-01-00	ELECTRO	COMPLETE KIT	1	79	23.96999931
9/16/2019	43-85-0003-01-01	BEDDING	SHEETS	2	50	45
9/17/2019	01-21-1001-14-12	COSMETICS	MASKS	1	55	17.64999962
9/17/2019	01-21-1004-14-12	COSMETICS	MASKS	2	118	40.59999847
9/17/2019	01-21-1005-14-12	COSMETICS	MASKS	1	59	22.64999962
9/17/2019	01-21-1008-14-12	COSMETICS	MASKS	1	59	23.02000046
9/17/2019	01-21-1010-15-12	COSMETICS	MASKS	1	50	14.89999962
9/17/2019	01-21-1013-14-12	COSMETICS	MASKS	1	79	19.94000053
9/17/2019	01-21-1014-14-12	COSMETICS	MASKS	1	50	14.5
9/17/2019	01-21-1015-15-12	COSMETICS	MASKS	1	62	20.29999924
9/17/2019	01-21-2001-14-12	COSMETICS	MASKS	1	89	32.52000046
9/17/2019	01-21-2008-14-12	COSMETICS	MASKS	1	75	17.14999962
9/17/2019	01-21-3003-14-12	COSMETICS	MASKS	1	65	24.57999992
9/17/2019	01-21-3005-14-12	COSMETICS	MASKS	1	60	14.25
9/17/2019	01-21-3006-14-12	COSMETICS	MASKS	1	78	24.34000015
9/17/2019	01-21-4002-14-12	COSMETICS	MASKS	1	57	19.93000031
9/17/2019	01-24-0203-00-12	FITNESS	LOWER BODY	2	90	32.41999817
9/17/2019	01-28-1301-03-12	FITNESS	MAT	2	32	14.34000015
9/17/2019	01-31-0101-01-00	AUTOMOTIVE	RINGS	1	20	7.940000057
9/17/2019	01-31-0103-01-00	ACCESSORIES	RINGS	5	102.9599991	22.5
9/17/2019	01-31-0108-01-00	AUTOMOTIVE	RINGS	2	44	10.5
9/17/2019	01-31-0109-01-00	AUTOMOTIVE	RINGS	2	44	12.69999981
