Item_ID	DEPT_	CLASS_
11-11-0035-00	NEW	NEW
17-24-0101-00	NEW	NEW
17-24-0106-11-00	NEW	NEW
17-24-0113-01-00	NEW	NEW
17-73-0601-03	NEW	NEW
21-13-0102	NEW	NEW
23-82-0102-01-00	NEW	NEW
23-82-1301-01-00	NEW	NEW
34-84-1001-01	NEW	NEW
37-84-0201-01-00	NEW	NEW
38-81-0001-00-00	NEW	NEW
38-82-0401-00-12	NEW	NEW
40-54-0001-01-00	NEW	NEW
01-12-0001-01	NEW	NEW
01-21-1001-14-12	NEW	NEW
01-21-1003-14-12	NEW	NEW
01-21-1004-15-12	NEW	NEW
01-21-1005-14-12	NEW	NEW
01-21-1010-14-12	NEW	NEW
01-21-1013-14-12	NEW	NEW
01-21-1014-14-12	NEW	NEW
01-21-1015-14-12	NEW	NEW
01-21-2004-14-12	NEW	NEW
01-21-2005-14-12	NEW	NEW
01-21-2012-14-12	NEW	NEW
01-21-3001-14-12	NEW	NEW
01-21-3002-14-12	NEW	NEW
01-21-3003-14-12	NEW	NEW
01-21-3005-14-12	NEW	NEW
01-21-4002-14-12	NEW	NEW
01-22-0103-01-00	NEW	NEW
01-24-0005-01-02	NEW	NEW
01-25-0001	NEW	NEW
01-25-0003	NEW	NEW
01-25-0005-01-04	NEW	NEW
01-27-0301-01-12	NEW	NEW
01-29-1304-01-00	NEW	NEW
02-31-0101-01-00	NEW	NEW
02-40-0001-00-00	NEW	NEW
02-54-1401-01-00	NEW	NEW
02-71-1402-01-12	NEW	NEW
02-73-1402-01-12	NEW	NEW
02-74-0403-01-00	NEW	NEW
02-74-1302-01-13	NEW	NEW
03-22-0105-01-02	NEW	NEW
03-25-0001-01-00	NEW	NEW
03-25-0003-01-00	NEW	NEW
03-25-0004-01-00	NEW	NEW
03-25-0005-01-00	NEW	NEW
03-51-0001-01-00	NEW	NEW
03-64-0001-01-00	NEW	NEW
03-64-0003-01-12	NEW	NEW
03-64-0401-01-00	NEW	NEW
04-12-0007-01	NEW	NEW
04-15-0103	NEW	NEW
04-15-0104-01-00	NEW	NEW
04-32-0101-01-00	NEW	NEW
11-11-0034-02	NEW	NEW
13-81-0101-00-00	NEW	NEW
17-24-0105-11-00	NEW	NEW
40-74-0001-01-00	NEW	NEW
41-89-0001-13-00	NEW	NEW
43-85-0003-01-01	NEW	NEW
46-15-0001-01	NEW	NEW
01-21-1012-14-12	NEW	NEW
01-21-2006-14-12	NEW	NEW
01-25-0005	NEW	NEW
01-25-0009-01-12	NEW	NEW
01-32-0101-01-12	NEW	NEW
02-63-0402-01-12	NEW	NEW
02-63-1403-01-00	NEW	NEW
02-72-0101-01-00	NEW	NEW
02-73-1302-01-00	NEW	NEW
03-22-0003-01-03	NEW	NEW
03-22-0111-01-01	NEW	NEW
03-24-0302-01-00	NEW	NEW
03-72-0501-01-00	NEW	NEW
03-81-1702-00-00	NEW	NEW
04-12-0004	NEW	NEW
04-12-0005-01	NEW	NEW
04-31-0401-00	NEW	NEW
04-82-0001-00-12	NEW	NEW
11-11-0011-13	NEW	NEW
13-82-0101-01-00	NEW	NEW
21-13-0101	NEW	NEW
38-53-1301-01-00	NEW	NEW
40-51-0001-01-12	NEW	NEW
01-21-1011-15-12	NEW	NEW
02-40-1301-00-00	NEW	NEW
03-22-0004-01-00	NEW	NEW
05-24-0101-01-00	NEW	NEW
08-34-0201-00-00	NEW	NEW
11-11-0014-13	NEW	NEW
11-11-0034-00	NEW	NEW
11-11-0034-03	NEW	NEW
01-21-1015-15-12	NEW	NEW
01-21-2003-15-12	NEW	NEW
01-21-2010-14-12	NEW	NEW
01-21-4001-14-12	NEW	NEW
01-23-0101-01-00	NEW	NEW
01-23-0104-01-00	NEW	NEW
01-25-0002-01-12	NEW	NEW
01-29-0002-00-00	NEW	NEW
02-54-0702-01-00	NEW	NEW
02-85-0301-01-00	NEW	NEW
03-24-0105-05	NEW	NEW
03-26-0001-01-00	NEW	NEW
03-33-1301-00-12	NEW	NEW
03-40-1301-00-00	NEW	NEW
03-72-0502-01	NEW	NEW
03-84-0001-01-00	NEW	NEW
04-12-0002-01-02	NEW	NEW
05-24-0102-02	NEW	NEW
07-81-1601-00-21	NEW	NEW
13-82-0001-00	NEW	NEW
17-24-0109-11-00	NEW	NEW
17-24-0111-11-00	NEW	NEW
23-33-0201-00-00	NEW	NEW
36-14-0001-01-03	NEW	NEW
01-21-4003-14-12	NEW	NEW
03-22-0004	NEW	NEW
03-33-1303-00-00	NEW	NEW
01-21-2008-14-12	NEW	NEW
02-74-0404-01-00	NEW	NEW
08-34-0212-00-00	NEW	NEW
13-86-0001-00-02	NEW	NEW
01-27-0303-01-12	NEW	NEW
05-24-0003-01-12	NEW	NEW
08-34-0204-00-00	NEW	NEW
17-24-0112-01-00	NEW	NEW
17-73-0601-01	NEW	NEW
02-54-0701-01-00	NEW	NEW
02-73-1401-01-12	NEW	NEW
03-22-0107-01-12	NEW	NEW
03-27-0301-01-00	NEW	NEW
11-11-0035-03	NEW	NEW
43-85-0001-01-00	NEW	NEW
