zipCode	state	Region	city
71302	Louisiana	Southeast	Alexandria
71303	Louisiana	Southeast	Alexandria
56308	Minnesota	Midwest	Alexandria
63430	Missouri	Midwest	Alexandria
68303	Nebraska	Midwest	Alexandria
43001	Ohio	Midwest	Alexandria
16611	Pennsylvania	Northeast	Alexandria
57311	South Dakota	Midwest	Alexandria
37012	Tennessee	Southeast	Alexandria
22303	Virginia	Southeast	Alexandria
22306	Virginia	Southeast	Alexandria
22307	Virginia	Southeast	Alexandria
22308	Virginia	Southeast	Alexandria
22309	Virginia	Southeast	Alexandria
22310	Virginia	Southeast	Alexandria
22312	Virginia	Southeast	Alexandria
22315	Virginia	Southeast	Alexandria
22301	Virginia	Southeast	Alexandria
22302	Virginia	Southeast	Alexandria
22304	Virginia	Southeast	Alexandria
22305	Virginia	Southeast	Alexandria
22311	Virginia	Southeast	Alexandria
22314	Virginia	Southeast	Alexandria
13607	New York	Northeast	Alexandria Bay
61412	Illinois	Midwest	Alexis
28006	North Carolina	Southeast	Alexis
32420	Florida	Southeast	Alford
4002	Maine	Northeast	Alfred
14802	New York	Northeast	Alfred
14803	New York	Northeast	Alfred Station
48610	Michigan	Midwest	Alger
45812	Ohio	Midwest	Alger
87001	New Mexico	Southwest	Algodones
54201	Wisconsin	Midwest	Algoma
50511	Iowa	Midwest	Algona
48001	Michigan	Midwest	Algonac
60102	Illinois	Midwest	Algonquin
91801	California	West	Alhambra
91803	California	West	Alhambra
62001	Illinois	Midwest	Alhambra
78332	Texas	Southwest	Alice
35442	Alabama	Southeast	Aliceville
72410	Arkansas	Southeast	Alicia
73716	Oklahoma	Southwest	Aline
15001	Pennsylvania	Northeast	Aliquippa
92656	California	West	Aliso Viejo
25501	West Virginia	Southeast	Alkol
99720	Alaska	West	Allakaket
7820	New Jersey	Northeast	Allamuchy
38504	Tennessee	Southeast	Allardt
43902	Ohio	Midwest	Alledonia
71820	Arkansas	Southeast	Alleene
49010	Michigan	Midwest	Allegan
14706	New York	Northeast	Allegany
95910	California	West	Alleghany
50007	Iowa	Midwest	Alleman
66833	Kansas	Midwest	Allen
41601	Kentucky	Southeast	Allen
21810	Maryland	Northeast	Allen
49227	Michigan	Midwest	Allen
68710	Nebraska	Midwest	Allen
74825	Oklahoma	Southwest	Allen
57714	South Dakota	Midwest	Allen
75002	Texas	Southwest	Allen
75013	Texas	Southwest	Allen
25810	West Virginia	Southeast	Allen Junction
48101	Michigan	Midwest	Allen Park
62410	Illinois	Midwest	Allendale
49401	Michigan	Midwest	Allendale
64420	Missouri	Midwest	Allendale
7401	New Jersey	Northeast	Allendale
29810	South Carolina	Southeast	Allendale
31301	Georgia	Southeast	Allenhurst
7711	New Jersey	Northeast	Allenhurst
15412	Pennsylvania	Northeast	Allenport
80510	Colorado	West	Allenspark
42204	Kentucky	Southeast	Allensville
17002	Pennsylvania	Northeast	Allensville
48002	Michigan	Midwest	Allenton
53002	Wisconsin	Midwest	Allenton
31003	Georgia	Southeast	Allentown
8501	New Jersey	Northeast	Allentown
14707	New York	Northeast	Allentown
18101	Pennsylvania	Northeast	Allentown
18102	Pennsylvania	Northeast	Allentown
18103	Pennsylvania	Northeast	Allentown
18104	Pennsylvania	Northeast	Allentown
18105	Pennsylvania	Northeast	Allentown
18106	Pennsylvania	Northeast	Allentown
18109	Pennsylvania	Northeast	Allentown
18195	Pennsylvania	Northeast	Allentown
8720	New Jersey	Northeast	Allenwood
17810	Pennsylvania	Northeast	Allenwood
50008	Iowa	Midwest	Allerton
61810	Illinois	Midwest	Allerton
78935	Texas	Southwest	Alleyton
35013	Alabama	Southeast	Allgood
69301	Nebraska	Midwest	Alliance
44601	Ohio	Midwest	Alliance
38720	Mississippi	Southeast	Alligator
50602	Iowa	Midwest	Allison
15413	Pennsylvania	Northeast	Allison
79003	Texas	Southwest	Allison
15101	Pennsylvania	Northeast	Allison Park
38541	Tennessee	Southeast	Allons
49805	Michigan	Midwest	Allouez
8001	New Jersey	Northeast	Alloway
25002	West Virginia	Southeast	Alloy
16821	Pennsylvania	Northeast	Allport
38542	Tennessee	Southeast	Allred
2134	Massachusetts	Northeast	Allston
98524	Washington	West	Allyn
72921	Arkansas	Southeast	Alma
80420	Colorado	West	Alma
31510	Georgia	Southeast	Alma
62807	Illinois	Midwest	Alma
66401	Kansas	Midwest	Alma
48801	Michigan	Midwest	Alma
64001	Missouri	Midwest	Alma
68920	Nebraska	Midwest	Alma
14708	New York	Northeast	Alma
54610	Wisconsin	Midwest	Alma
26320	West Virginia	Southeast	Alma
54611	Wisconsin	Midwest	Alma Center
54805	Wisconsin	Midwest	Almena
99103	Washington	West	Almira
83312	Idaho	West	Almo
42020	Kentucky	Southeast	Almo
28702	North Carolina	Southeast	Almond
14804	New York	Northeast	Almond
54909	Wisconsin	Midwest	Almond
81210	Colorado	West	Almont
48003	Michigan	Midwest	Almont
58520	North Dakota	Midwest	Almont
72003	Arkansas	Southeast	Almyra
4535	Maine	Northeast	Alna
93201	California	West	Alpaugh
72611	Arkansas	Southeast	Alpena
49707	Michigan	Midwest	Alpena
57312	South Dakota	Midwest	Alpena
61413	Illinois	Midwest	Alpha
42603	Kentucky	Southeast	Alpha
49902	Michigan	Midwest	Alpha
56111	Minnesota	Midwest	Alpha
45301	Ohio	Midwest	Alpha
30004	Georgia	Southeast	Alpharetta
30005	Georgia	Southeast	Alpharetta
30009	Georgia	Southeast	Alpharetta
30022	Georgia	Southeast	Alpharetta
35014	Alabama	Southeast	Alpine
85920	Arizona	Southwest	Alpine
91901	California	West	Alpine
7620	New Jersey	Northeast	Alpine
14805	New York	Northeast	Alpine
38543	Tennessee	Southeast	Alpine
79830	Texas	Southwest	Alpine
79831	Texas	Southwest	Alpine
84004	Utah	West	Alpine
83128	Wyoming	West	Alpine
12008	New York	Northeast	Alplaus
97324	Oregon	West	Alsea
58311	North Dakota	Midwest	Alsen
62610	Illinois	Midwest	Alsey
60803	Illinois	Midwest	Alsip
3602	New Hampshire	Northeast	Alstead
30412	Georgia	Southeast	Alston
95701	California	West	Alta
51002	Iowa	Midwest	Alta
83414	Wyoming	West	Alta
50603	Iowa	Midwest	Alta Vista
66834	Kansas	Midwest	Alta Vista
91001	California	West	Altadena
77412	Texas	Southwest	Altair
62411	Illinois	Midwest	Altamont
67330	Kansas	Midwest	Altamont
64620	Missouri	Midwest	Altamont
12009	New York	Northeast	Altamont
37301	Tennessee	Southeast	Altamont
84001	Utah	West	Altamont
32714	Florida	Southeast	Altamonte Springs
32701	Florida	Southeast	Altamonte Springs
24517	Virginia	Southeast	Altavista
63732	Missouri	Midwest	Altenburg
32421	Florida	Southeast	Altha
72004	Arkansas	Southeast	Altheimer
13302	New York	Northeast	Altmar
30510	Georgia	Southeast	Alto
49302	Michigan	Midwest	Alto
88312	New Mexico	Southwest	Alto
75925	Texas	Southwest	Alto
62905	Illinois	Midwest	Alto Pass
51003	Iowa	Midwest	Alton
62002	Illinois	Midwest	Alton
65606	Missouri	Midwest	Alton
3809	New Hampshire	Northeast	Alton
84710	Utah	West	Alton
24520	Virginia	Southeast	Alton
3810	New Hampshire	Northeast	Alton Bay
61414	Illinois	Midwest	Altona
12910	New York	Northeast	Altona
84002	Utah	West	Altonah
35952	Alabama	Southeast	Altoona
32702	Florida	Southeast	Altoona
50009	Iowa	Midwest	Altoona
66710	Kansas	Midwest	Altoona
16601	Pennsylvania	Northeast	Altoona
16602	Pennsylvania	Northeast	Altoona
54720	Wisconsin	Midwest	Altoona
55910	Minnesota	Midwest	Altura
96101	California	West	Alturas
72821	Arkansas	Southeast	Altus
73521	Oklahoma	Southwest	Altus
15521	Pennsylvania	Northeast	Alum Bank
26321	West Virginia	Southeast	Alum Bridge
25003	West Virginia	Southeast	Alum Creek
33920	Florida	Southeast	Alva
73717	Oklahoma	Southwest	Alva
82711	Wyoming	West	Alva
44802	Ohio	Midwest	Alvada
56710	Minnesota	Midwest	Alvarado
76009	Texas	Southwest	Alvarado
42122	Kentucky	Southeast	Alvaton
15710	Pennsylvania	Northeast	Alverda
15612	Pennsylvania	Northeast	Alverton
61811	Illinois	Midwest	Alvin
77511	Texas	Southwest	Alvin
95002	California	West	Alviso
68304	Nebraska	Midwest	Alvo
51230	Iowa	Midwest	Alvord
76225	Texas	Southwest	Alvord
43501	Ohio	Midwest	Alvordton
59311	Montana	West	Alzada
70031	Louisiana	Southeast	Ama
85645	Arizona	Southwest	Amado
95601	California	West	Amador City
11930	New York	Northeast	Amagansett
72005	Arkansas	Southeast	Amagon
87512	New Mexico	Southwest	Amalia
52203	Iowa	Midwest	Amana
43102	Ohio	Midwest	Amanda
98526	Washington	West	Amanda Park
89020	Nevada	West	Amargosa Valley
79101	Texas	Southwest	Amarillo
79102	Texas	Southwest	Amarillo
79103	Texas	Southwest	Amarillo
79104	Texas	Southwest	Amarillo
79105	Texas	Southwest	Amarillo
79106	Texas	Southwest	Amarillo
79107	Texas	Southwest	Amarillo
79108	Texas	Southwest	Amarillo
79111	Texas	Southwest	Amarillo
79124	Texas	Southwest	Amarillo
79109	Texas	Southwest	Amarillo
79110	Texas	Southwest	Amarillo
79118	Texas	Southwest	Amarillo
79119	Texas	Southwest	Amarillo
79121	Texas	Southwest	Amarillo
49903	Michigan	Midwest	Amasa
10501	New York	Northeast	Amawalk
64421	Missouri	Midwest	Amazonia
73004	Oklahoma	Southwest	Amber
54102	Wisconsin	Midwest	Amberg
17210	Pennsylvania	Northeast	Amberson
47917	Indiana	Midwest	Ambia
99786	Alaska	West	Ambler
19002	Pennsylvania	Northeast	Ambler
92304	California	West	Amboy
61310	Illinois	Midwest	Amboy
46911	Indiana	Midwest	Amboy
56010	Minnesota	Midwest	Amboy
98601	Washington	West	Amboy
15003	Pennsylvania	Northeast	Ambridge
31512	Georgia	Southeast	Ambrose
58833	North Dakota	Midwest	Ambrose
70340	Louisiana	Southeast	Amelia
68711	Nebraska	Midwest	Amelia
45102	Ohio	Midwest	Amelia
23002	Virginia	Southeast	Amelia Court House
58004	North Dakota	Midwest	Amenia
12501	New York	Northeast	Amenia
94503	California	West	American Canyon
83211	Idaho	West	American Falls
84003	Utah	West	American Fork
31709	Georgia	Southeast	Americus
31719	Georgia	Southeast	Americus
66835	Kansas	Midwest	Americus
54001	Wisconsin	Midwest	Amery
50010	Iowa	Midwest	Ames
50011	Iowa	Midwest	Ames
50012	Iowa	Midwest	Ames
50014	Iowa	Midwest	Ames
68621	Nebraska	Midwest	Ames
73718	Oklahoma	Southwest	Ames
1913	Massachusetts	Northeast	Amesbury
45711	Ohio	Midwest	Amesville
80721	Colorado	West	Amherst
1002	Massachusetts	Northeast	Amherst
1003	Massachusetts	Northeast	Amherst
68812	Nebraska	Midwest	Amherst
3031	New Hampshire	Northeast	Amherst
44001	Ohio	Midwest	Amherst
57421	South Dakota	Midwest	Amherst
79312	Texas	Southwest	Amherst
24521	Virginia	Southeast	Amherst
54406	Wisconsin	Midwest	Amherst
54407	Wisconsin	Midwest	Amherst Junction
25607	West Virginia	Southeast	Amherstdale
58620	North Dakota	Midwest	Amidon
25811	West Virginia	Southeast	Amigo
20106	Virginia	Southeast	Amissville
88410	New Mexico	Southwest	Amistad
70422	Louisiana	Southeast	Amite
71921	Arkansas	Southeast	Amity
64422	Missouri	Midwest	Amity
97101	Oregon	West	Amity
15311	Pennsylvania	Northeast	Amity
11701	New York	Northeast	Amityville
43002	Ohio	Midwest	Amlin
25005	West Virginia	Southeast	Amma
46103	Indiana	Midwest	Amo
24601	Virginia	Southeast	Amonate
64722	Missouri	Midwest	Amoret
73719	Oklahoma	Southwest	Amorita
38821	Mississippi	Southeast	Amory
64723	Missouri	Midwest	Amsterdam
12010	New York	Northeast	Amsterdam
43903	Ohio	Midwest	Amsterdam
6231	Connecticut	Northeast	Amston
63431	Missouri	Midwest	Anabel
71403	Louisiana	Southeast	Anacoco
59711	Montana	West	Anaconda
98221	Washington	West	Anacortes
73005	Oklahoma	Southwest	Anadarko
92801	California	West	Anaheim
92802	California	West	Anaheim
92804	California	West	Anaheim
92805	California	West	Anaheim
92806	California	West	Anaheim
92807	California	West	Anaheim
92808	California	West	Anaheim
96703	Hawaii	West	Anahola
77514	Texas	Southwest	Anahuac
99721	Alaska	West	Anaktuvuk Pass
58710	North Dakota	Midwest	Anamoose
52205	Iowa	Midwest	Anamosa
99401	Washington	West	Anatone
24808	West Virginia	Southeast	Anawalt
61720	Illinois	Midwest	Anchor
99556	Alaska	West	Anchor Point
99501	Alaska	West	Anchorage
99502	Alaska	West	Anchorage
99503	Alaska	West	Anchorage
99504	Alaska	West	Anchorage
99507	Alaska	West	Anchorage
99508	Alaska	West	Anchorage
99510	Alaska	West	Anchorage
99513	Alaska	West	Anchorage
99515	Alaska	West	Anchorage
99516	Alaska	West	Anchorage
99517	Alaska	West	Anchorage
99518	Alaska	West	Anchorage
99519	Alaska	West	Anchorage
99695	Alaska	West	Anchorage
61311	Illinois	Midwest	Ancona
12502	New York	Northeast	Ancram
12503	New York	Northeast	Ancramdale
36420	Alabama	Southeast	Andalusia
36421	Alabama	Southeast	Andalusia
61232	Illinois	Midwest	Andalusia
99744	Alaska	West	Anderson
35610	Alabama	Southeast	Anderson
96007	California	West	Anderson
46011	Indiana	Midwest	Anderson
46012	Indiana	Midwest	Anderson
46013	Indiana	Midwest	Anderson
46016	Indiana	Midwest	Anderson
46017	Indiana	Midwest	Anderson
64831	Missouri	Midwest	Anderson
29621	South Carolina	Southeast	Anderson
29624	South Carolina	Southeast	Anderson
29625	South Carolina	Southeast	Anderson
29626	South Carolina	Southeast	Anderson
77830	Texas	Southwest	Anderson
98303	Washington	West	Anderson Island
31711	Georgia	Southeast	Andersonville
37705	Tennessee	Southeast	Andersonville
13731	New York	Northeast	Andes
6232	Connecticut	Northeast	Andover
52701	Iowa	Midwest	Andover
67002	Kansas	Midwest	Andover
1810	Massachusetts	Northeast	Andover
4216	Maine	Northeast	Andover
55304	Minnesota	Midwest	Andover
3216	New Hampshire	Northeast	Andover
7821	New Jersey	Northeast	Andover
14806	New York	Northeast	Andover
44003	Ohio	Midwest	Andover
57422	South Dakota	Midwest	Andover
18211	Pennsylvania	Northeast	Andreas
52030	Iowa	Midwest	Andrew
46702	Indiana	Midwest	Andrews
28901	North Carolina	Southeast	Andrews
29510	South Carolina	Southeast	Andrews
79714	Texas	Southwest	Andrews
58212	North Dakota	Midwest	Aneta
87710	New Mexico	Southwest	Angel Fire
59312	Montana	West	Angela
14709	New York	Northeast	Angelica
95222	California	West	Angels Camp
92305	California	West	Angelus Oaks
70426	Louisiana	Southeast	Angie
27501	North Carolina	Southeast	Angier
56711	Minnesota	Midwest	Angle Inlet
77515	Texas	Southwest	Angleton
46703	Indiana	Midwest	Angola
70712	Louisiana	Southeast	Angola
14006	New York	Northeast	Angola
99820	Alaska	West	Angoon
55703	Minnesota	Midwest	Angora
69331	Nebraska	Midwest	Angora
38721	Mississippi	Southeast	Anguilla
94508	California	West	Angwin
99557	Alaska	West	Aniak
88020	New Mexico	Southwest	Animas
50020	Iowa	Midwest	Anita
15711	Pennsylvania	Northeast	Anita
54408	Wisconsin	Midwest	Aniwa
50021	Iowa	Midwest	Ankeny
50023	Iowa	Midwest	Ankeny
26323	West Virginia	Southeast	Anmoore
48103	Michigan	Midwest	Ann Arbor
48104	Michigan	Midwest	Ann Arbor
48105	Michigan	Midwest	Ann Arbor
48108	Michigan	Midwest	Ann Arbor
48109	Michigan	Midwest	Ann Arbor
62906	Illinois	Midwest	Anna
45302	Ohio	Midwest	Anna
75409	Texas	Southwest	Anna
34216	Florida	Southeast	Anna Maria
84711	Utah	West	Annabella
63330	Missouri	Midwest	Annada
55302	Minnesota	Midwest	Annandale
8801	New Jersey	Northeast	Annandale
22003	Virginia	Southeast	Annandale
