4P_Order	Order_date	Shipping_date	Shipping_revenues	Shipping_cost	Carrier/Class	TRK	weight	zip	order_total	Ins
43913	7/31/2019	8/1/2019	15.67	15.77	UPS/UPS 2nd Day Air	1Z1A1V710298333277	2.69	33584	141.67	126
43915	8/1/2019	8/1/2019	10.84	7.15	UPS/UPS SurePost Less than 1 lb	1Z1A1V71YN95209450	0.75	74112	52.49	49
43916	8/1/2019	8/1/2019	11.94	8.29	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW90032259	1.06	11217	69.94	58
43917	8/1/2019	8/1/2019	22.71	15.77	UPS/UPS 2nd Day Air	1Z1A1V710298226615	2	73012	78.71	56
43918	8/1/2019	8/1/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.56	44060	42.6	43
43919	8/1/2019	8/1/2019	17.63	12.24	UPS/UPS Ground	1Z1A1V710396259403	3.56	11561	196.73	199
43920	8/1/2019	8/1/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.25	72762	24.9	21
43921	8/1/2019	8/1/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.69	65610	48.9	45
43922	8/1/2019	8/1/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.31	92571	39.9	36
43923	8/1/2019	8/1/2019	10.41	7.23	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW93456206	1	60441	109.41	99
43924	8/1/2019	8/1/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.69	97838	25.9	22
43925	8/1/2019	8/1/2019	16.69	11.59	UPS/UPS Ground	1Z1A1V710391853029	1.31	21211	75.69	59
43926	8/1/2019	8/1/2019	22.71	15.77	UPS/UPS 2nd Day Air	1Z1A1V710293012962	0.81	78213	91.71	69
43927	8/1/2019	8/1/2019	11.94	8.29	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW94973217	1.13	11237	117.94	106
43928	8/1/2019	8/1/2019	16.69	11.59	UPS/UPS Ground	1Z1A1V710397011865	0.75	90069	82.69	66
43929	8/1/2019	8/1/2019	30.05	36.79	UPS/UPS Ground	1Z1A1V710393496386	4.25	96814	311.05	281
43930	8/1/2019	8/1/2019	37.66	26.15	UPS/UPS Next Day Air	1Z1A1V710192040408	0.75	20902	103.66	66
43931	8/1/2019	8/1/2019	17.28	12	UPS/UPS Ground	1Z1A1V710391397175	1.56	95695	171.28	154
43932	8/1/2019	8/1/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.5	90621	68.9	65
43933	8/1/2019	8/1/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.31	78704	50.9	47
43934	8/1/2019	8/1/2019	13.09	9.09	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW92342796	1.75	92648	81.09	80
43935	8/1/2019	8/1/2019	21.1	14.65	UPS/UPS Ground	1Z1A1V710393824351	1.5	37148	174.1	153
43936	8/1/2019	8/1/2019	12.77	8.87	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW95859652	2.5	18104	275.77	263
43937	8/1/2019	8/1/2019	10.97	11.59	UPS/UPS Ground	1Z1A1V710397255423	1.69	37043	59.97	49
43938	8/1/2019	8/1/2019	16.69	11.59	UPS/UPS Ground	1Z1A1V710397153793	1.25	20037	125.69	109
43939	8/1/2019	8/1/2019	80.11	12.73	UPS/UPS Ground	1Z1A1V710392222593	13.63	27560	865.51	924
43940	8/1/2019	8/1/2019	40.48	11.59	UPS/UPS Ground	1Z1A1V710396996376	1.69	33625	103.48	63
43941	8/1/2019	8/1/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.25	70119	22.9	19
43943	8/1/2019	8/1/2019	12.87	11.86	UPS/UPS Ground	1Z1A1V710395564558	2	83402	125.87	138
43942	8/1/2019	8/1/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.31	53208	55.9	52
43944	8/1/2019	8/1/2019	11.94	8.29	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW97050333	1.13	16509	111.94	100
43945	8/1/2019	8/1/2019	11.94	8.29	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW97085716	1.25	06002	56.94	50
43946	8/1/2019	8/1/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.75	15227	23.9	20
43947	8/1/2019	8/1/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.06	87108	25.9	22
43948	8/1/2019	8/1/2019	11.94	11.6	UPS/UPS Ground	1Z1A1V710395213669	1.06	66202	50.94	39
43949	8/1/2019	8/1/2019	16.95	11.77	UPS/UPS Ground	1Z1A1V710395364649	2.5	14202	197.95	181
43950	8/1/2019	8/1/2019	11.71	11.59	UPS/UPS Ground	1Z1A1V710390357068	1.06	45213	50.71	39
43951	8/1/2019	8/1/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.06	69341	23.7	22
43952	8/1/2019	8/1/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.31	84104	22.9	19
43954	8/1/2019	8/1/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.44	98112	32.9	29
43955	8/1/2019	8/1/2019	16.7	11.6	UPS/UPS Ground	1Z1A1V710398347180	0.5	70116	61.7	45
43956	8/1/2019	8/1/2019	13.09	12	UPS/UPS Ground	1Z1A1V710396624562	1.69	97030	63.09	60
43958	8/1/2019	8/1/2019	27.58	19.15	UPS/UPS Next Day Air	1Z1A1V710193592338	1.25	30083	139.95	102
43960	8/1/2019	8/1/2019	21.82	15.15	UPS/UPS 3 Day Select	1Z1A1V711296586846	0.75	30083	157.49	124
43964	8/1/2019	8/1/2019	11.71	8.13	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW92621163	1.69	28401	201.71	190
43965	8/1/2019	8/1/2019	11.71	8.13	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW93142741	1.69	28401	181.71	170
43977	8/1/2019	8/1/2019	11.94	8.29	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW97418482	1.19	11206	145.94	134
43978	8/1/2019	8/1/2019	10.41	7.23	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW95799477	1	33707	94.56	99
44062	8/2/2019	8/2/2019	47.22	32.79	UPS/UPS Next Day Air	1Z1A1V710197094753	1.44	46041	106.22	59
44123	8/2/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.44	10030	55.9	52
43976	8/1/2019	8/2/2019	11.71	8.13	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW98048773	1.31	15228	61.71	50
43979	8/1/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.63	80914	56.9	53
43980	8/1/2019	8/2/2019	17.28	12	UPS/UPS Ground	1Z1A1V710396440055	1.38	94561	131.28	114
43981	8/1/2019	8/2/2019	22.71	15.77	UPS/UPS 2nd Day Air	1Z1A1V710299111246	3.5	60651	177.71	155
43983	8/1/2019	8/2/2019	0	11.59	UPS/UPS Ground	1Z1A1V710391701577	0.94	92582	0	0
43984	8/1/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.38	43202	14.9	11
43985	8/1/2019	8/2/2019	22.71	15.77	UPS/UPS 2nd Day Air	1Z1A1V710295585831	1.44	36603	57.71	35
43986	8/1/2019	8/2/2019	12.12	8.42	UPS/UPS Ground	1Z1A1V710390877569	0.75	21075	131.12	119
43988	8/1/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.19	53705	17.9	14
43989	8/1/2019	8/2/2019	0	11.59	UPS/UPS Ground	1Z1A1V710392583140	0.31	66213	0	0
43990	8/1/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.25	40241	29.9	26
43991	8/1/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.63	92603	62.9	59
43992	8/1/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.38	28083	20.9	17
43993	8/1/2019	8/2/2019	24.15	11.88	UPS/UPS 2nd Day Air	1Z1A1V710298580312	2.94	06902	191.15	167
43994	8/1/2019	8/2/2019	16.69	11.59	UPS/UPS Ground	1Z1A1V710397206888	1.94	15217	150.69	134
43995	8/1/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.38	20010	19.9	16
43996	8/1/2019	8/2/2019	16.7	11.6	UPS/UPS Ground	1Z1A1V710397411870	0.81	33556	164.7	148
43997	8/1/2019	8/2/2019	12.87	8.94	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW93133528	1.44	85013	180.87	168
43998	8/1/2019	8/2/2019	11.94	8.29	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW97922114	1.25	17601	136.94	125
43999	8/1/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2613E+25	1.06	68028	93.9	90
44000	8/1/2019	8/2/2019	16.95	11.77	UPS/UPS Ground	1Z1A1V710399149786	2.38	75206	255.95	239
44001	8/1/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.44	45403	30	29
44002	8/1/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.75	11374	122.9	119
44003	8/1/2019	8/2/2019	11.71	11.59	UPS/UPS Ground	1Z1A1V710395084906	1.5	45458	102.71	91
44004	8/1/2019	8/2/2019	16.69	11.59	UPS/UPS Ground	1Z1A1V710398832682	0.31	95304	37.69	21
44005	8/1/2019	8/2/2019	16.37	11.37	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW97825676	5.88	98155	294.37	278
44006	8/1/2019	8/2/2019	13.44	9.33	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW93423090	3.63	55116	281.64	298
44007	8/1/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.63	92104	51.9	48
44008	8/1/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.5	78801	59.9	56
44009	8/1/2019	8/2/2019	21.83	15.16	UPS/UPS 3 Day Select	1Z1A1V711294200685	5.88	46774	420.83	399
44010	8/1/2019	8/2/2019	16.69	11.59	UPS/UPS Ground	1Z1A1V710392645476	0.94	90069	97.69	81
44011	8/1/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.25	90020	25.9	22
44012	8/1/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.63	78212	46.4	50
44014	8/1/2019	8/2/2019	22.48	15.61	UPS/UPS 3 Day Select	1Z1A1V711291320659	3.31	12302	290.48	268
44015	8/1/2019	8/2/2019	22.31	15.49	UPS/UPS Ground	1Z1A1V710396141628	1.13	43160	137.31	115
44016	8/1/2019	8/2/2019	10.97	7.62	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW93704607	1.38	28214	213.97	203
44017	8/1/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.06	97124	25.9	22
44018	8/1/2019	8/2/2019	22.71	15.77	UPS/UPS 2nd Day Air	1Z1A1V710299395995	0.75	07024	141.71	119
44019	8/1/2019	8/2/2019	11.71	8.13	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW95742572	1.06	44102	50.71	39
44020	8/1/2019	8/2/2019	11.97	8.31	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW97220962	4.88	28203	197.97	186
44021	8/1/2019	8/2/2019	11.94	8.29	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW97244535	1.06	18018	50.94	39
44022	8/1/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.19	33607	36.9	33
44023	8/1/2019	8/2/2019	26.97	18.73	UPS/UPS 2nd Day Air	1Z1A1V710293622946	4	06810	258.97	232
44024	8/1/2019	8/2/2019	15.67	10.88	UPS/UPS 2nd Day Air	1Z1A1V710291493278	1.31	10027	83.67	68
44025	8/1/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.31	64111	32.9	29
44026	8/1/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.5	49408	44.4	45
44027	8/1/2019	8/2/2019	16.69	11.59	UPS/UPS Ground	1Z1A1V710393216633	0.44	97527	65.69	49
44028	8/1/2019	8/2/2019	13.09	9.09	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW96384958	1.06	90047	52.09	39
44029	8/1/2019	8/2/2019	11.71	8.13	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW95269852	1.31	62035	159.71	148
44030	8/1/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.5	80216	53.9	50
44031	8/1/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.75	35209	20.9	20
44032	8/2/2019	8/2/2019	13.52	9.39	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW95951631	1	31830	45.92	29
44033	8/2/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.06	85224	23.7	22
44034	8/2/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.06	75208	25.9	22
44035	8/2/2019	8/2/2019	16.69	11.59	UPS/UPS Ground	1Z1A1V710391942996	1.06	63110	55.69	39
44037	8/2/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.5	85741	88.9	85
44038	8/2/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.63	43950	102.9	99
44039	8/2/2019	8/2/2019	33.62	23.35	UPS/UPS 3 Day Select	1Z1A1V711294912586	4.81	90015	167.62	134
44040	8/2/2019	8/2/2019	11.71	8.13	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW95027096	1.75	39110	162.71	151
44041	8/2/2019	8/2/2019	16.69	11.59	UPS/UPS Ground	1Z1A1V710392909360	2	30605	110.91	86
44042	8/2/2019	8/2/2019	16.7	11.6	UPS/UPS Ground	1Z1A1V710398423918	0.69	34684	87.8	79
44043	8/2/2019	8/2/2019	11.94	8.29	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW98207949	1.69	55409	125.94	114
44044	8/2/2019	8/2/2019	22.71	15.77	UPS/UPS 2nd Day Air	1Z1A1V710292968558	1.88	64108	301.71	279
44045	8/2/2019	8/2/2019	11.94	11.6	UPS/UPS Ground	1Z1A1V710394661329	1.06	02886	50.94	39
44046	8/2/2019	8/2/2019	22.71	15.77	UPS/UPS 2nd Day Air	1Z1A1V710291112509	1.25	19067	124.71	102
44047	8/2/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.25	91405	23.9	20
44048	8/2/2019	8/2/2019	16.72	11.61	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW94344487	1.38	95656	195.72	179
44050	8/2/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.13	25015	21.9	18
44051	8/2/2019	8/2/2019	16.7	11.6	UPS/UPS Ground	1Z1A1V710390136458	0.94	33578	52.7	36
44052	8/2/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.5	85705	66	69
44053	8/2/2019	8/2/2019	12.28	8.13	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW97903019	1.5	33401	86.28	74
44054	8/2/2019	8/2/2019	12.12	8.42	UPS/UPS Ground	1Z1A1V710394181419	0.13	78759	34.12	22
44055	8/2/2019	8/2/2019	13.09	9.09	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW99734707	1.5	97124	142.09	129
44056	8/2/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.63	55421	102.9	99
44057	8/2/2019	8/2/2019	11.94	11.6	UPS/UPS Ground	1Z1A1V710397439805	1.06	78613	50.94	39
44059	8/2/2019	8/2/2019	11.71	11.59	UPS/UPS Ground	1Z1A1V710395255589	1.19	33133	69.71	58
44060	8/2/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.75	10014	122.9	119
44061	8/2/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.06	18938	25.9	22
44087	8/2/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.06	84058	25.9	22
44063	8/2/2019	8/2/2019	11.94	11.6	UPS/UPS Ground	1Z1A1V710397128525	1.88	11219	121.94	110
44064	8/2/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.31	30548	65.77	57
44065	8/2/2019	8/2/2019	21.1	14.65	UPS/UPS Ground	1Z1A1V710393909377	0.25	95446	50.1	29
44066	8/2/2019	8/2/2019	11.71	8.13	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW91288535	1.63	48111	96.31	94
44067	8/2/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.75	79934	48.9	45
44068	8/2/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.06	33309	25.9	22
44071	8/2/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.56	32068	28.9	25
44072	8/2/2019	8/2/2019	16.7	11.6	UPS/UPS Ground	1Z1A1V710394582898	0.5	60613	61.7	45
44073	8/2/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.06	34638	25.9	22
44074	8/2/2019	8/2/2019	16.7	11.6	UPS/UPS Ground	1Z1A1V710393805265	0.81	30308	170.32	141
44076	8/2/2019	8/2/2019	11.94	8.29	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW91080437	1.19	12208	136.94	125
44075	8/2/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.06	43232	25.9	22
44077	8/2/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.06	76201	25.9	22
44079	8/2/2019	8/2/2019	16.69	11.59	UPS/UPS Ground	1Z1A1V710391822848	1	98028	115.69	99
44080	8/2/2019	8/2/2019	12.77	8.87	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW95587820	2.38	11385	175.77	163
44081	8/2/2019	8/2/2019	11.71	8.13	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW99481212	1.69	22407	165.71	154
44082	8/2/2019	8/2/2019	11.71	8.13	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW90864735	1.19	20120	96.71	110
44083	8/2/2019	8/2/2019	12.87	8.94	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW94192758	3.44	33437	299.87	287
44084	8/2/2019	8/2/2019	15.57	10.81	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW93933468	1.81	77868	103.57	88
44086	8/2/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.75	32801	122.9	119
44088	8/2/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.44	01118	53.9	50
44089	8/2/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.25	11105	47.9	44
44090	8/2/2019	8/2/2019	37.57	26.09	UPS/UPS 2nd Day Air	1Z1A1V710292237427	1.19	99515	162.57	125
44091	8/2/2019	8/2/2019	21.83	15.16	UPS/UPS 3 Day Select	1Z1A1V711299970068	2.06	33603	186.73	194
44092	8/2/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.75	03102	102.9	99
44093	8/2/2019	8/2/2019	13.09	9.09	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW95169040	1.06	90027	52.09	39
44094	8/2/2019	8/2/2019	11.71	8.13	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW99003989	1.44	48197	132.31	134
44095	8/2/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.63	926	28.9	25
44096	8/2/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.38	41031	25.9	22
44097	8/2/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.63	92128	103.9	100
44100	8/2/2019	8/2/2019	13.09	9.09	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW90165517	1.44	91741	66.19	59
44101	8/2/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.75	80236	122.9	119
44102	8/2/2019	8/2/2019	116.47	79.53	UPS/UPS 3 Day Select	1Z1A1V711299195101	44	85015	611.47	495
44103	8/2/2019	8/2/2019	47.95	33.3	UPS/UPS Next Day Air	1Z1A1V710198470148	0.19	94070	61.95	14
44104	8/2/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.44	62711	32.9	29
44108	8/2/2019	8/2/2019	11.49	7.58	UPS/UPS SurePost Less than 1 lb	1Z1A1V71YN98398732	0.75	92691	60.49	49
44106	8/2/2019	8/2/2019	64.27	64.31	UPS/UPS 3 Day Select	1Z1A1V711298020925	36.5	66215	514.27	225
44107	8/2/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.13	36867	21.9	20
44109	8/2/2019	8/2/2019	13.09	9.09	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW96259165	1.31	92264	72.09	59
44110	8/2/2019	8/2/2019	11.94	8.29	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW95294726	1.56	03431	145.14	148
44111	8/2/2019	8/2/2019	29.33	20.37	UPS/UPS 3 Day Select	1Z1A1V711293816709	0.88	77418	157.33	128
44112	8/2/2019	8/2/2019	14.79	10.27	UPS/UPS 3 Day Select	1Z1A1V711295309290	0.56	33138	109.79	95
44113	8/2/2019	8/2/2019	0	11.59	UPS/UPS Ground	1Z1A1V710399998190	0.94	10011	0	0
44116	8/2/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.25	60640	41.9	38
44117	8/2/2019	8/2/2019	12.77	8.87	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW97088268	2.94	07627	394.77	382
44118	8/2/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.25	65721	25.9	22
44119	8/2/2019	8/2/2019	13.09	9.09	UPS/UPS SurePost 1 lb or Greater	1Z1A1V71YW98670000	1.19	94566	138.09	125
44120	8/2/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.06	07701	25.9	22
44122	8/2/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.25	06513	23.9	20
44124	8/2/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.44	15022	78.9	75
44125	8/2/2019	8/2/2019	3.9	0	UPS/UPS Expedited Mail Innovations	9.2749E+25	0.75	72732	28.9	25
44126	8/2/2019	8/2/2019	22.71	15.77	UPS/UPS 2nd Day Air	1Z1A1V710296960398	1.19	10017	147.71	125
