Order#	Order_date	Item_No	Dept_	Class_	Units_sold	Shipping_date	TRK#
53646	8/30/2019	03-22-0110-11-00	DISC	DISC	1	9/1/2019	1Z1A1V71YW92610648
53646	8/30/2019	23-82-1301-01-00	ESSENTIALS	BATH	1	9/1/2019	1Z1A1V71YW92610648
53647	8/31/2019	02-63-0403-01-00	FITNESS	CYCLING	1	9/1/2019	1Z1A1V710396030355
53648	8/31/2019	38-51-0101-01-00	ELECTRO	ELECTRO ACCESSORIES	1	9/1/2019	1Z1A1V71YN92336872
53649	8/31/2019	01-24-0203-00-12	FITNESS	LOWER BODY	1	9/1/2019	1Z1A1V710399220153
53650	8/31/2019	03-22-0004	DISC	DISC	1	9/1/2019	9.2749E+25
53651	8/31/2019	03-22-0001-01-12	FITNESS	APPAREL	1	9/1/2019	1Z1A1V710398026080
53651	8/31/2019	08-28-0201-00-00	FITNESS	MAT	1	9/1/2019	1Z1A1V710398026080
53651	8/31/2019	01-28-1301-03-12	FITNESS	MAT	1	9/1/2019	1Z1A1V710398026080
53652	8/31/2019	43-85-0002-01	SEASONAL	SEASONAL	1	9/1/2019	1Z1A1V71YW96691885
53653	8/31/2019	01-24-0203-00-12	FITNESS	LOWER BODY	1	9/1/2019	1Z1A1V710390140087
53654	8/31/2019	17-24-0111-11-00	FITNESS	LOWER BODY	1	9/1/2019	1Z1A1V710297143073
53654	8/31/2019	38-31-0001-00-12	AUTOMOTIVE	RINGS	1	9/1/2019	1Z1A1V710297143073
53654	8/31/2019	03-22-0110-11-00	DISC	DISC	1	9/1/2019	1Z1A1V710297143073
53654	8/31/2019	11-11-0011-13	SEASONAL	SEASONAL	1	9/1/2019	1Z1A1V710297143073
53655	8/31/2019	02-40-1301-00-00	SLEEPWEAR	INTIMATES	1	9/1/2019	9.2749E+25
53655	8/31/2019	03-81-0003-00	SEASONAL	SEASONAL	1	9/1/2019	9.2749E+25
53656	8/31/2019	01-31-0103-01-00	ACCESSORIES	RINGS	1	9/1/2019	9.2749E+25
53657	8/31/2019	01-28-1301-03-12	FITNESS	MAT	1	9/1/2019	1Z1A1V710399105920
53657	8/31/2019	08-28-0201-00-00	FITNESS	MAT	1	9/1/2019	1Z1A1V710399105920
53658	8/31/2019	03-31-0102-01-00	ACCESSORIES	RINGS	1	9/1/2019	9.2749E+25
53659	8/31/2019	02-81-0001-00-00	ESSENTIALS	BODY CARE	1	9/1/2019	1Z1A1V71YW99051463
53659	8/31/2019	03-81-1701-00	SEASONAL	SEASONAL	4	9/1/2019	1Z1A1V71YW99051463
53660	8/31/2019	08-34-0205-00-00	GEAR	OUTERWEAR	1	9/1/2019	1Z1A1V710397572134
53661	8/31/2019	08-31-0203-00-00	ACCESSORIES	RINGS	1	9/1/2019	1Z1A1V710398500567
53661	8/31/2019	07-81-1601-00	SEASONAL	SEASONAL	1	9/1/2019	1Z1A1V710398500567
53661	8/31/2019	01-25-0008	SEASONAL	SEASONAL	1	9/1/2019	1Z1A1V710398500567
53661	8/31/2019	01-31-0104-01-00	AUTOMOTIVE	RINGS	1	9/1/2019	1Z1A1V710398500567
53661	8/31/2019	08-31-0201-00-00	ACCESSORIES	RINGS	1	9/1/2019	1Z1A1V710398500567
53661	8/31/2019	03-24-0104-01	SEASONAL	SEASONAL	1	9/1/2019	1Z1A1V710398500567
53662	8/31/2019	01-31-0101-01-00	AUTOMOTIVE	RINGS	1	9/1/2019	9.2749E+25
53663	8/31/2019	02-31-0101-01-00	AUTOMOTIVE	RINGS	1	9/1/2019	9.2749E+25
53663	8/31/2019	01-31-0106-01-00	AUTOMOTIVE	RINGS	1	9/1/2019	9.2749E+25
53664	8/31/2019	03-81-1701-00	SEASONAL	SEASONAL	1	9/1/2019	9.2749E+25
53665	8/31/2019	03-81-1701-00	SEASONAL	SEASONAL	1	9/1/2019	CJ204278665US
53665	8/31/2019	01-31-0107-01-12	GEAR	OUTERWEAR	1	9/1/2019	CJ204278665US
53667	8/31/2019	04-12-0002-01	SEASONAL	SEASONAL	1	9/1/2019	9.2749E+25
53666	8/31/2019	03-22-0110-11-00	DISC	DISC	1	9/1/2019	1Z1A1V71YW93020257
53666	8/31/2019	04-12-0007-01	SEASONAL	SEASONAL	1	9/1/2019	1Z1A1V71YW93020257
53666	8/31/2019	01-81-1601-00-00	ESSENTIALS	BODY CARE	1	9/1/2019	1Z1A1V71YW93020257
53666	8/31/2019	01-21-4001-14-12	COSMETICS	MASKS	1	9/1/2019	1Z1A1V71YW93020257
53666	8/31/2019	37-84-0201-01-00	ESSENTIALS	GLOVES	1	9/1/2019	1Z1A1V71YW93020257
53666	8/31/2019	03-72-1101	SEASONAL	SEASONAL	1	9/1/2019	1Z1A1V71YW93020257
53666	8/31/2019	02-73-1102	SEASONAL	SEASONAL	1	9/1/2019	1Z1A1V71YW93020257
53668	8/31/2019	03-81-0001-00-03	ESSENTIALS	BODY CARE	1	9/1/2019	1Z1A1V71YW97336490
53668	8/31/2019	03-81-1701-00	SEASONAL	SEASONAL	1	9/1/2019	1Z1A1V71YW97336490
53669	8/31/2019	02-31-0103-01-00	ACCESSORIES	RINGS	1	9/1/2019	9.2749E+25
53669	8/31/2019	02-31-0101-01-00	AUTOMOTIVE	RINGS	1	9/1/2019	9.2749E+25
53669	8/31/2019	01-31-0109-01-00	AUTOMOTIVE	RINGS	1	9/1/2019	9.2749E+25
53670	8/31/2019	08-34-0210-00-00	GEAR	OUTERWEAR	1	9/1/2019	9.2749E+25
53671	8/31/2019	03-81-1701-00	SEASONAL	SEASONAL	1	9/1/2019	1Z1A1V71YW93644208
53671	8/31/2019	01-83-1603-00-00	ESSENTIALS	ORAL CARE	1	9/1/2019	1Z1A1V71YW93644208
53672	8/31/2019	38-51-0101-01-00	ELECTRO	ELECTRO ACCESSORIES	1	9/1/2019	1Z1A1V71YW98679029
53672	8/31/2019	01-21-4001-14-12	COSMETICS	MASKS	1	9/1/2019	1Z1A1V71YW98679029
53672	8/31/2019	01-21-1004-14-12	COSMETICS	MASKS	1	9/1/2019	1Z1A1V71YW98679029
53673	8/31/2019	03-81-1701-00	SEASONAL	SEASONAL	1	9/1/2019	1Z1A1V71YW99404411
53674	8/31/2019	01-31-0109-01-00	AUTOMOTIVE	RINGS	1	9/1/2019	9.2749E+25
53674	8/31/2019	40-24-0001-01-00	FITNESS	LOWER BODY	1	9/1/2019	9.2749E+25
53676	8/31/2019	01-21-4001-14-12	COSMETICS	MASKS	1	9/1/2019	1Z1A1V710292428186
53676	8/31/2019	03-81-0001-00-03	ESSENTIALS	BODY CARE	1	9/1/2019	1Z1A1V710292428186
53677	8/31/2019	01-83-1601-00-00	ESSENTIALS	ORAL CARE	1	9/1/2019	HJ283038571US
53677	8/31/2019	02-63-1301-01-00	FITNESS	CYCLING	1	9/1/2019	HJ283038571US
53677	8/31/2019	02-63-0403-01-00	FITNESS	CYCLING	1	9/1/2019	HJ283038571US
53675	8/31/2019	01-25-0008	SEASONAL	SEASONAL	1	9/1/2019	1Z1A1V71YW92148158
53675	8/31/2019	03-22-0004	DISC	DISC	1	9/1/2019	1Z1A1V71YW92148158
53678	8/31/2019	01-31-0101-01-00	AUTOMOTIVE	RINGS	1	9/1/2019	9.2749E+25
53679	8/31/2019	22-82-1301-00-12	ESSENTIALS	BATH	1	9/1/2019	1Z1A1V710397499974
53680	8/31/2019	03-22-0101-01-00	FITNESS	APPAREL	1	9/1/2019	1Z1A1V71YW95977346
53680	8/31/2019	02-73-0001-01-00	ACCESSORIES	BELTS	1	9/1/2019	1Z1A1V71YW95977346
53680	8/31/2019	03-22-0003-01-00	FITNESS	APPAREL	1	9/1/2019	1Z1A1V71YW95977346
53680	8/31/2019	03-22-0001-01-12	FITNESS	APPAREL	1	9/1/2019	1Z1A1V71YW95977346
53681	8/31/2019	04-12-0006-01	SEASONAL	SEASONAL	1	9/1/2019	1Z1A1V71YN97480108
53682	8/31/2019	01-28-1301-03-12	FITNESS	MAT	1	9/1/2019	1Z1A1V716771073030
53682	8/31/2019	02-71-1401-01-00	ACCESSORIES	IMPULSE	1	9/1/2019	1Z1A1V716771073030
53682	8/31/2019	02-40-0401-00-00	SLEEPWEAR	INTIMATES	1	9/1/2019	1Z1A1V716771073030
53682	8/31/2019	08-28-0201-00-00	FITNESS	MAT	1	9/1/2019	1Z1A1V716771073030
53682	8/31/2019	03-22-0110-11-00	DISC	DISC	1	9/1/2019	1Z1A1V716771073030
53683	8/31/2019	04-82-0001-00-00	ESSENTIALS	BATH	1	9/1/2019	9.2749E+25
53684	8/31/2019	03-81-1701-00	SEASONAL	SEASONAL	1	9/1/2019	9.2749E+25
53685	8/31/2019	03-81-0002-00-00	ESSENTIALS	BODY CARE	1	9/1/2019	1Z1A1V71YW99345397
53685	8/31/2019	03-81-1701-00	SEASONAL	SEASONAL	1	9/1/2019	1Z1A1V71YW99345397
53686	8/31/2019	10-81-0001-00-00	ESSENTIALS	BODY CARE	1	9/1/2019	HJ283037324US
53686	8/31/2019	17-24-0113-01-00	FITNESS	LOWER BODY	1	9/1/2019	HJ283037324US
53686	8/31/2019	03-81-0001-00-03	ESSENTIALS	BODY CARE	1	9/1/2019	HJ283037324US
53686	8/31/2019	03-22-0004	DISC	DISC	1	9/1/2019	HJ283037324US
53686	8/31/2019	03-81-1701-00	SEASONAL	SEASONAL	1	9/1/2019	HJ283037324US
53687	8/31/2019	01-86-0001-00-00	SEASONAL	SEASONAL	1	9/1/2019	1Z1A1V710194570547
53687	8/31/2019	01-81-1601-00-00	ESSENTIALS	BODY CARE	3	9/1/2019	1Z1A1V710194570547
53690	8/31/2019	03-32-0402-00-00	GEAR	OUTERWEAR	1	9/1/2019	9.2749E+25
53689	8/31/2019	02-40-0401-00-00	SLEEPWEAR	INTIMATES	1	9/1/2019	9.2749E+25
53689	8/31/2019	04-74-0001	SEASONAL	SEASONAL	1	9/1/2019	9.2749E+25
53688	8/31/2019	04-12-0006-01	SEASONAL	SEASONAL	1	9/1/2019	1Z1A1V71YN92444139
53691	8/31/2019	02-73-1402-01-12	ACCESSORIES	BELTS	1	9/1/2019	1Z1A1V710394970496
53691	8/31/2019	03-35-0101-01-00	FITNESS	WEIGHTS	1	9/1/2019	1Z1A1V710394970496
53691	8/31/2019	21-13-0102	SEASONAL	SEASONAL	1	9/1/2019	1Z1A1V710394970496
53691	8/31/2019	02-63-1301-01-00	FITNESS	CYCLING	1	9/1/2019	1Z1A1V710394970496
53691	8/31/2019	03-72-1101	SEASONAL	SEASONAL	3	9/1/2019	1Z1A1V710394970496
53691	8/31/2019	02-74-0405-01	ACCESSORIES	IMPULSE	1	9/1/2019	1Z1A1V710394970496
53692	8/31/2019	01-21-1002-14-12	COSMETICS	MASKS	1	9/1/2019	1Z1A1V710397765319
53693	8/31/2019	07-81-1601-00	SEASONAL	SEASONAL	1	9/3/2019	1Z1A1V71YN90421087
53693	8/31/2019	03-31-0102-01-00	ACCESSORIES	RINGS	1	9/3/2019	1Z1A1V71YN90421087
53694	8/31/2019	03-74-0002-01-00	ELECTRO	AUDIO	1	9/1/2019	9.2749E+25
53694	8/31/2019	33-81-1701-00-00	ESSENTIALS	BODY CARE	1	9/1/2019	9.2749E+25
53696	8/31/2019	03-33-1303-00-00	GEAR	OUTERWEAR	1	9/1/2019	1Z1A1V71YW92650444
53695	8/31/2019	02-40-0402-00-00	DISC	DISC	1	9/1/2019	9.2749E+25
53698	8/31/2019	02-71-1402-01-12	ACCESSORIES	IMPULSE	1	9/1/2019	1Z1A1V71YW98996874
53698	8/31/2019	03-35-0101-01-00	FITNESS	WEIGHTS	1	9/1/2019	1Z1A1V71YW98996874
53699	8/31/2019	01-24-0203-00-12	FITNESS	LOWER BODY	1	9/1/2019	1Z1A1V710395225058
53700	8/31/2019	03-25-0003-01-00	COSMETICS	MASKS	1	9/1/2019	1Z1A1V716773638015
53701	8/31/2019	03-74-0003-01-00	ACCESSORIES	IMPULSE	1	9/4/2019	1Z1A1V710392611896
53702	8/31/2019	01-32-0101-01	GEAR	OUTERWEAR	1	9/3/2019	1Z1A1V71YN95506003
53702	8/31/2019	08-31-0203-00-00	ACCESSORIES	RINGS	1	9/3/2019	1Z1A1V71YN95506003
53703	8/31/2019	02-40-0401-00-00	SLEEPWEAR	INTIMATES	1	9/1/2019	9.2749E+25
53703	8/31/2019	40-54-0001-01-00	ELECTRO	COMPLETE KIT	1	9/1/2019	9.2749E+25
53704	8/31/2019	03-35-0101-01-00	FITNESS	WEIGHTS	1	9/4/2019	1Z1A1V710393421509
53705	8/31/2019	03-22-0004	DISC	DISC	1	9/1/2019	9.2749E+25
53706	8/31/2019	01-27-0302-01-12	FITNESS	LOWER BODY	1	9/1/2019	1Z1A1V716771633407
53707	8/31/2019	01-31-0103-01-00	ACCESSORIES	RINGS	1	9/3/2019	1Z1A1V71YN92177866
53707	8/31/2019	01-81-1601-00-00	ESSENTIALS	BODY CARE	1	9/3/2019	1Z1A1V71YN92177866
53708	8/31/2019	01-32-0101-01	GEAR	OUTERWEAR	1	9/1/2019	1Z1A1V710394088824
53708	8/31/2019	03-22-0002-01-12	FITNESS	LOWER BODY	1	9/1/2019	1Z1A1V710394088824
53709	8/31/2019	03-81-0004-00	SEASONAL	SEASONAL	1	9/1/2019	1Z1A1V71YW90744810
53709	8/31/2019	17-24-0111-11-00	FITNESS	LOWER BODY	1	9/1/2019	1Z1A1V71YW90744810
53710	8/31/2019	01-31-0109-01-00	AUTOMOTIVE	RINGS	1	9/1/2019	9.2749E+25
53711	8/31/2019	01-83-1602-00-00	ESSENTIALS	ORAL CARE	2	9/1/2019	1Z1A1V710297488988
53712	8/31/2019	02-31-0103-01-00	ACCESSORIES	RINGS	1	9/1/2019	9.2749E+25
53712	8/31/2019	02-40-0401-00-00	SLEEPWEAR	INTIMATES	1	9/1/2019	9.2749E+25
53713	8/31/2019	17-24-0111-11-00	FITNESS	LOWER BODY	1	9/1/2019	1Z1A1V710394072975
53714	8/31/2019	01-83-1603-00-00	ESSENTIALS	ORAL CARE	1	9/1/2019	1Z1A1V710394560965
53714	8/31/2019	01-81-1601-00-00	ESSENTIALS	BODY CARE	1	9/1/2019	1Z1A1V710394560965
53714	8/31/2019	03-31-0102-01-00	ACCESSORIES	RINGS	1	9/1/2019	1Z1A1V710394560965
53714	8/31/2019	01-83-1601-00-00	ESSENTIALS	ORAL CARE	1	9/1/2019	1Z1A1V710394560965
53715	8/31/2019	08-28-0201-00-00	FITNESS	MAT	1	9/1/2019	1Z1A1V716772919222
53715	8/31/2019	01-28-1301-03-12	FITNESS	MAT	1	9/1/2019	1Z1A1V716772919222
53716	8/31/2019	04-31-0001-00	SEASONAL	SEASONAL	1	9/1/2019	9.2749E+25
53717	8/31/2019	02-62-1401-01-00	FITNESS	CYCLING	1	9/1/2019	1Z1A1V710397142367
53717	8/31/2019	02-62-0401-01-12	FITNESS	CYCLING	1	9/1/2019	1Z1A1V710397142367
53718	8/31/2019	01-81-1601-00-00	ESSENTIALS	BODY CARE	1	9/1/2019	1Z1A1V71YW97497932
53718	8/31/2019	03-81-1701-00	SEASONAL	SEASONAL	1	9/1/2019	1Z1A1V71YW97497932
53718	8/31/2019	20-87-0001-00	ESSENTIALS	BATH	1	9/1/2019	1Z1A1V71YW97497932
53718	8/31/2019	03-81-0002-00-00	ESSENTIALS	BODY CARE	1	9/1/2019	1Z1A1V71YW97497932
53719	8/31/2019	08-34-0203-00-00	GEAR	OUTERWEAR	1	9/1/2019	1Z1A1V71YW94664926
53719	8/31/2019	03-72-0501-01-00	ACCESSORIES	IMPULSE	1	9/1/2019	1Z1A1V71YW94664926
53720	8/31/2019	04-31-0001-00	SEASONAL	SEASONAL	1	9/1/2019	1Z1A1V710290808911
53720	8/31/2019	01-21-1004-14-12	COSMETICS	MASKS	1	9/1/2019	1Z1A1V710290808911
53721	8/31/2019	02-31-0103-01-00	ACCESSORIES	RINGS	3	9/1/2019	1Z1A1V710198694291
53721	8/31/2019	01-31-0101-01-00	AUTOMOTIVE	RINGS	1	9/1/2019	1Z1A1V710198694291
53722	8/31/2019	04-31-0001-00	SEASONAL	SEASONAL	1	9/1/2019	9.2749E+25
53722	8/31/2019	03-31-0102-01-00	ACCESSORIES	RINGS	1	9/1/2019	9.2749E+25
53723	8/31/2019	08-31-0202-00-00	ACCESSORIES	RINGS	1	9/1/2019	9.2749E+25
53724	9/1/2019	03-72-0501-01-00	ACCESSORIES	IMPULSE	1	9/1/2019	9.2749E+25
53724	9/1/2019	20-87-0001-00	ESSENTIALS	BATH	1	9/1/2019	9.2749E+25
53725	9/1/2019	03-74-0004-01-00	ACCESSORIES	IMPULSE	1	9/1/2019	1Z1A1V71YW90536867
53725	9/1/2019	02-73-1402-01-12	ACCESSORIES	BELTS	1	9/1/2019	1Z1A1V71YW90536867
53726	9/1/2019	01-29-1304-01-00	FITNESS	ACCESSORIES	1	9/1/2019	1Z1A1V710390796058
53726	9/1/2019	01-21-1011-14-12	COSMETICS	MASKS	1	9/1/2019	1Z1A1V710390796058
53727	9/1/2019	03-74-0002-01-00	ELECTRO	AUDIO	1	9/1/2019	9.2749E+25
53727	9/1/2019	02-40-0402-00-00	DISC	DISC	1	9/1/2019	9.2749E+25
53727	9/1/2019	33-81-1701-00-00	ESSENTIALS	BODY CARE	1	9/1/2019	9.2749E+25
53728	9/1/2019	13-31-0101-03	ACCESSORIES	RINGS	1	9/1/2019	9.2749E+25
53729	9/1/2019	13-31-0101-02	ACCESSORIES	RINGS	1	9/1/2019	9.2749E+25
53730	9/1/2019	02-73-0002-01-00	ACCESSORIES	BELTS	1	9/1/2019	1Z1A1V710396773268
53731	9/1/2019	01-83-1602-00-00	ESSENTIALS	ORAL CARE	1	9/1/2019	9.2749E+25
53731	9/1/2019	40-24-0001-01-00	FITNESS	LOWER BODY	1	9/1/2019	9.2749E+25
53733	9/1/2019	01-31-0106-01-00	AUTOMOTIVE	RINGS	1	9/1/2019	9.2749E+25
53733	9/1/2019	04-12-0007-01	SEASONAL	SEASONAL	1	9/1/2019	9.2749E+25
53732	9/1/2019	03-81-1701-00	SEASONAL	SEASONAL	1	9/1/2019	1Z1A1V71YW92516036
53734	9/1/2019	01-81-1601-00-00	ESSENTIALS	BODY CARE	1	9/1/2019	9.2749E+25
53734	9/1/2019	03-81-0001-00-03	ESSENTIALS	BODY CARE	1	9/1/2019	9.2749E+25
53735	9/1/2019	03-24-0105-05	SEASONAL	SEASONAL	1	9/1/2019	1Z1A1V710397392123
53735	9/1/2019	03-81-1701-00	SEASONAL	SEASONAL	1	9/1/2019	1Z1A1V710397392123
53735	9/1/2019	17-24-0114-00-00	DISC	DISC	1	9/1/2019	1Z1A1V710397392123
53736	9/1/2019	01-86-0001-00-00	SEASONAL	SEASONAL	1	9/1/2019	1Z1A1V710295583511
53736	9/1/2019	03-81-0004-00	SEASONAL	SEASONAL	1	9/1/2019	1Z1A1V710295583511
53737	9/1/2019	08-31-0203-00-00	ACCESSORIES	RINGS	1	9/3/2019	1Z1A1V71YW90234013
53737	9/1/2019	08-34-0201-00-00	GEAR	OUTERWEAR	1	9/3/2019	1Z1A1V71YW90234013
53737	9/1/2019	08-31-0202-00-00	ACCESSORIES	RINGS	1	9/3/2019	1Z1A1V71YW90234013
53737	9/1/2019	03-31-0102-01-00	ACCESSORIES	RINGS	1	9/3/2019	1Z1A1V71YW90234013
53737	9/1/2019	02-31-0103-01-00	ACCESSORIES	RINGS	1	9/3/2019	1Z1A1V71YW90234013
53738	9/1/2019	23-82-1301-01-00	ESSENTIALS	BATH	1	9/1/2019	9.2749E+25
53740	9/1/2019	08-34-0210-00-00	GEAR	OUTERWEAR	1	9/3/2019	1Z1A1V710393365204
53740	9/1/2019	01-81-1601-00-00	ESSENTIALS	BODY CARE	1	9/3/2019	1Z1A1V710393365204
53740	9/1/2019	01-29-1303	SEASONAL	SEASONAL	2	9/3/2019	1Z1A1V710393365204
53740	9/1/2019	07-81-1601-00	SEASONAL	SEASONAL	1	9/3/2019	1Z1A1V710393365204
53741	9/1/2019	01-86-0001-00-00	SEASONAL	SEASONAL	1	9/1/2019	9.2749E+25
53741	9/1/2019	01-83-1601-00-00	ESSENTIALS	ORAL CARE	1	9/1/2019	9.2749E+25
53742	9/1/2019	02-62-0401-01-12	FITNESS	CYCLING	1	9/1/2019	1Z1A1V710394505060
53739	9/1/2019	01-31-0103-01-00	ACCESSORIES	RINGS	1	9/1/2019	1Z1A1V71YW93092233
53739	9/1/2019	11-11-0015-13	SEASONAL	SEASONAL	1	9/1/2019	1Z1A1V71YW93092233
53739	9/1/2019	03-31-0102-01-00	ACCESSORIES	RINGS	1	9/1/2019	1Z1A1V71YW93092233
53739	9/1/2019	01-31-0104-01-00	AUTOMOTIVE	RINGS	1	9/1/2019	1Z1A1V71YW93092233
53739	9/1/2019	01-81-1601-00-00	ESSENTIALS	BODY CARE	1	9/1/2019	1Z1A1V71YW93092233
53739	9/1/2019	02-31-0101-01-00	AUTOMOTIVE	RINGS	1	9/1/2019	1Z1A1V71YW93092233
53743	9/1/2019	38-31-0001-00-12	AUTOMOTIVE	RINGS	1	9/1/2019	9.2749E+25
53744	9/1/2019	01-86-0001-00-00	SEASONAL	SEASONAL	1	9/1/2019	1Z1A1V710193561022
53745	9/1/2019	01-86-0001-00-00	SEASONAL	SEASONAL	1	9/1/2019	9.2749E+25
53746	9/1/2019	03-22-0101-01-00	FITNESS	APPAREL	1	9/1/2019	1Z1A1V71YW99155253
53746	9/1/2019	03-22-0004	DISC	DISC	1	9/1/2019	1Z1A1V71YW99155253
53746	9/1/2019	03-22-0002-01-12	FITNESS	LOWER BODY	1	9/1/2019	1Z1A1V71YW99155253
53749	9/1/2019	07-81-0101-00	SEASONAL	SEASONAL	1	9/1/2019	9.2749E+25
53747	9/1/2019	01-31-0107-01-12	GEAR	OUTERWEAR	1	9/1/2019	1Z1A1V710398298448
53748	9/1/2019	03-22-0003-01-00	FITNESS	APPAREL	1	9/1/2019	9.2749E+25
53750	9/1/2019	01-86-0001-00-00	SEASONAL	SEASONAL	1	9/1/2019	9.2749E+25
53751	9/1/2019	01-86-0001-00-00	SEASONAL	SEASONAL	1	9/1/2019	HJ283038320US
53752	9/1/2019	01-86-0001-00-00	SEASONAL	SEASONAL	2	9/1/2019	9.2749E+25
