Date	Item_ID	Unit_Sold	$_Sold	Total_Cost
9/21/2019	03-81-0004-00	1	15	3.650000095
9/21/2019	03-81-0101-00-00	2	20	8.800000191
9/21/2019	03-81-1701-00	3	60	17.70000029
9/21/2019	03-81-1701-00	1	35	11.80000019
9/21/2019	03-85-0301-01-00	1	59	21
9/21/2019	04-12-0002-01	1	45	16.79999924
9/21/2019	04-12-0002-01	1	45	16.79999924
9/21/2019	04-12-0006-01	1	49	22.06999969
9/21/2019	04-12-0009-01	1	89	35.00999832
9/21/2019	04-13-1101-03-00	1	36	11.80000019
9/21/2019	04-31-0001-00	1	29	10.19999981
9/21/2019	04-31-0001-00	2	58	20.39999962
9/21/2019	04-31-0004-01	4	260	96
9/21/2019	04-31-0004-01	1	65	24
9/21/2019	04-82-0001-00-00	1	32	11.19999981
9/21/2019	04-82-0002-00-12	5	295	111.9999981
9/21/2019	06-81-1701-00-00	1	12.47999954	2.799999952
9/21/2019	06-81-1703-00-00	1	19	11.03999996
9/21/2019	07-81-0101-00	5	65	15.59999943
9/21/2019	07-81-1601-00	2	32	7.5
9/21/2019	08-28-0201-00-00	6	228	65.69999886
9/21/2019	08-31-0201-00-00	1	10.98999977	6.75
9/21/2019	08-31-0202-00-00	3	36	7.109999657
9/21/2019	08-31-0203-00-00	2	40	12
9/21/2019	08-34-0203-00-00	1	20	6.159999847
9/21/2019	08-34-0205-00-00	1	58	16.57999992
9/21/2019	08-34-0206-01-00	1	115	42.08000183
9/21/2019	08-34-0209-00-00	1	25	11.47999954
9/21/2019	08-34-0210-00-00	3	75	34.43999863
9/21/2019	08-34-0211-00-00	1	25	11.47999954
9/21/2019	11-11-0031-00	2	80	21.10000038
9/21/2019	11-11-0031-00	1	40	10.55000019
9/21/2019	11-11-0031-00	1	40	10.55000019
9/21/2019	11-11-0031-00	1	40	10.55000019
9/21/2019	11-11-0031-02	2	50	8.800000191
9/21/2019	11-11-0031-02	3	75	13.20000029
9/21/2019	11-11-0031-02	1	25	4.400000095
9/21/2019	11-11-0031-03	1	25	4.400000095
9/21/2019	11-11-0031-03	1	25	4.400000095
9/21/2019	11-11-0032-00	3	165	39.39000034
9/21/2019	11-11-0033-00	1	40	12.35000038
9/21/2019	11-11-0033-00	1	40	12.35000038
9/21/2019	11-11-0033-00	1	40	12.35000038
9/21/2019	11-11-0033-03	1	22	5.300000191
9/21/2019	11-11-0035-02	1	32	6.599999905
9/21/2019	11-11-0037-00	1	74	23.69000053
9/21/2019	11-11-0037-02	2	78	21.94000053
9/21/2019	11-11-0037-03	1	39	10.97000027
9/21/2019	11-11-0037-03	1	39	10.97000027
9/21/2019	20-87-0001-00	1	5	1.440000057
9/21/2019	20-87-0001-00	1	22	7.199999809
9/21/2019	21-13-0001	4	40	11.80000019
9/21/2019	21-13-0001	3	30	8.850000143
9/21/2019	21-13-0001	1	10	2.950000048
9/21/2019	21-13-0001	1	10	2.950000048
9/21/2019	22-82-1301-00-00	2	90	33
9/21/2019	23-82-0101-01-00	1	42	12.38000011
9/21/2019	34-84-0901-01	1	20	8.199999809
9/21/2019	34-84-0901-01	1	22.87000084	8.199999809
9/21/2019	38-12-0001-01	1	49	23.55999947
9/21/2019	38-31-0001-00-12	1	45	16.31999969
9/21/2019	38-51-0101-01-00	3	297	112.2599945
9/21/2019	40-33-0001-00-00	5	495	179.8500061
9/21/2019	43-85-0002-01	1	199	111
9/22/2019	01-21-1002-14-12	1	61.34000015	12.64999962
9/22/2019	01-21-1004-14-12	4	236	81.19999695
9/22/2019	01-21-1006-15-12	1	55	21.22999954
9/22/2019	01-21-1009-14-12	1	62	23.30999947
9/22/2019	01-21-1010-14-00	3	150	52.94999886
9/22/2019	01-21-2001-14-12	2	178	65.04000092
9/22/2019	01-24-0101-01	2	70	17.54000092
9/22/2019	01-24-0202-00-12	1	29	11.01000023
9/22/2019	01-24-0203-00-12	1	45	16.20999908
9/22/2019	01-24-0303-01	1	17	3
9/22/2019	01-25-0006	1	42	13.30000019
9/22/2019	01-25-0008	1	32	11.81000042
9/22/2019	01-28-1301-03-12	2	32	14.34000015
9/22/2019	01-29-1303	2	22	5.199999809
9/22/2019	01-31-0101-01-00	1	20	7.940000057
9/22/2019	01-31-0103-01-00	4	80	18
9/22/2019	01-31-0104-01-00	1	25	6.199999809
9/22/2019	01-31-0105-01-00	2	30	13.19999981
9/22/2019	01-31-0106-01-00	5	125	34.00000095
9/22/2019	01-31-0107-01-12	1	69	20.05999947
9/22/2019	01-31-0108-01-00	1	22	5.25
9/22/2019	01-31-0109-01-00	4	88	25.39999962
9/22/2019	01-40-0401-00-00	1	18	5.400000095
9/22/2019	01-81-1601-00-00	6	48	19.20000029
9/22/2019	01-83-1601-00-00	4	36	17.20000076
9/22/2019	01-83-1602-00-00	2	18	7.960000038
9/22/2019	01-83-1603-00-00	1	14	2.75
9/22/2019	01-86-0001-00-00	19	1425	836
9/22/2019	02-31-0103-01-00	2	30	5.900000095
9/22/2019	02-31-0401-00-00	3	108	23.84999943
9/22/2019	02-32-0101-01-00	1	10	2.049999952
9/22/2019	02-32-1101-01-00	3	30	19.5
9/22/2019	02-40-0301-01-12	2	24.47999954	5.980000019
9/22/2019	02-40-0401-00-00	2	30.60000038	5.900000095
9/22/2019	02-62-0401-01-12	1	109	37.84000015
9/22/2019	02-62-1401-01-00	1	29	9.75
9/22/2019	02-63-0403-01-00	1	495	172
9/22/2019	02-63-0406-01-12	1	649	241.75
9/22/2019	02-71-1401-01-00	4	260	48
9/22/2019	02-71-1403-01-12	1	109	33.15000153
9/22/2019	02-73-0002-01-00	1	36	11
9/22/2019	02-73-1102	1	33.27000046	5.150000095
9/22/2019	02-73-1301	1	16	3.700000048
9/22/2019	02-74-1402-01-00	2	70	24
9/22/2019	02-81-0001-00-00	2	36	11
9/22/2019	03-17-0101	1	29	8
9/22/2019	03-22-0001-01-12	1	69	30.63999939
9/22/2019	03-22-0002-01-12	1	62	30.63999939
9/22/2019	03-22-0003-01-00	2	198	64
9/22/2019	03-22-0101-01-00	3	297	90
9/22/2019	03-22-0110-01-00	2	125	96
9/22/2019	03-31-0102-01-00	3	54	12
9/22/2019	03-32-0001-01-01	3	87	24.86999989
9/22/2019	03-32-0402-00-00	1	64.44999695	13.23999977
9/22/2019	03-35-0101-01-00	2	138	30
9/22/2019	03-40-0101-01-12	1	19	6
9/22/2019	03-40-0102-01-12	1	25	9.279999733
9/22/2019	03-52-1301-01-00	1	140	43.25999832
9/22/2019	03-74-0002-01-00	1	25	4.75
9/22/2019	03-74-0003-01-00	2	198	48
9/22/2019	03-81-0001-00-03	5	40	9.250000119
9/22/2019	03-81-0002-00-00	4	48	24
9/22/2019	03-81-0003-00	1	25	7.400000095
9/22/2019	03-81-0004-00	1	15	6
9/22/2019	03-81-0004-00	1	15	3.650000095
9/22/2019	03-81-0101-00-00	1	10	4.400000095
9/22/2019	03-81-1701-00	1	20	5.900000095
9/22/2019	03-81-1701-00	1	35	11.80000019
9/22/2019	04-12-0002-01	1	45	16.79999924
9/22/2019	04-12-0009-01	2	178	70.01999664
9/22/2019	04-12-0009-01	2	178	70.01999664
9/22/2019	04-12-0010-01	2	78	28.52000046
9/22/2019	04-12-0011-01	2	98	36.40000153
9/22/2019	04-12-0011-01	3	147	54.60000229
9/22/2019	04-15-0105-01-00	1	8	2.779999971
9/22/2019	04-31-0001-00	1	29	10.19999981
9/22/2019	04-31-0001-00	3	87	30.59999943
9/22/2019	04-74-0001	1	20	5.400000095
9/22/2019	04-82-0001-00-00	1	32	11.19999981
9/22/2019	06-81-1701-00-00	2	22	5.599999905
9/22/2019	06-81-1703-00-00	1	19	11.03999996
9/22/2019	07-81-1601-00	3	48	11.25
9/22/2019	08-28-0201-00-00	2	76	21.89999962
9/22/2019	08-31-0201-00-00	7	119	47.25
9/22/2019	08-31-0202-00-00	9	108.4799995	21.32999897
9/22/2019	08-31-0203-00-00	4	80	24
9/22/2019	08-34-0203-00-00	1	20	6.159999847
9/22/2019	08-34-0205-00-00	1	58	16.57999992
9/22/2019	08-34-0209-00-00	2	50	22.95999908
9/22/2019	10-81-0001-00-00	3	87	37.5
9/22/2019	11-11-0031-00	1	40	10.55000019
9/22/2019	11-11-0031-00	1	40	10.55000019
9/22/2019	11-11-0031-02	2	50	8.800000191
9/22/2019	11-11-0031-02	1	25	4.400000095
9/22/2019	11-11-0031-02	1	25	4.400000095
9/22/2019	11-11-0031-03	1	25	4.400000095
9/22/2019	11-11-0031-03	1	25	4.400000095
9/22/2019	11-11-0032-00	2	110	26.26000023
9/22/2019	11-11-0032-02	1	29	5.690000057
9/22/2019	11-11-0032-03	1	29	5.690000057
9/22/2019	11-11-0033-00	1	40	12.35000038
9/22/2019	11-11-0033-00	1	40	12.35000038
9/22/2019	11-11-0033-02	1	22	5.300000191
9/22/2019	11-11-0035-00	1	55	14.94999981
9/22/2019	11-11-0037-00	1	74	23.69000053
9/22/2019	11-11-0037-02	1	39	10.97000027
9/22/2019	11-11-0037-02	1	39	10.97000027
9/22/2019	11-11-0037-02	1	39	10.97000027
9/22/2019	11-11-0037-03	1	39	10.97000027
9/22/2019	17-24-0101-00	1	35	10.40999985
9/22/2019	17-24-0106-11-00	1	39	9.449999809
9/22/2019	17-24-0113-01-00	1	40	7.690000057
9/22/2019	17-73-0601-03	1	25	7.769999981
9/22/2019	20-87-0001-00	1	3	0.720000029
9/22/2019	20-87-0001-00	1	9	2.880000114
9/22/2019	21-13-0001	1	10.39999962	2.950000048
9/22/2019	21-13-0102	2	30	6.800000191
9/22/2019	22-82-1301-00-00	1	45	16.5
9/22/2019	23-82-0101-01-00	2	84	24.76000023
9/22/2019	23-82-0102-01-00	2	42	14.85999966
9/22/2019	23-82-1301-01-00	2	32	9.760000229
9/22/2019	34-84-1001-01	1	20	8.789999962
9/22/2019	37-84-0201-01-00	1	37	18.37999916
9/22/2019	38-31-0001-00-12	3	135	48.95999908
9/22/2019	38-51-0101-01-00	2	198	74.83999634
9/22/2019	38-81-0001-00-00	1	0	3.119999886
9/22/2019	38-82-0401-00-12	2	118	57.74000168
9/22/2019	40-33-0001-00-00	1	99	35.97000122
9/22/2019	40-54-0001-01-00	1	79	23.96999931
9/22/2019	43-85-0002-01	1	239	119.5
9/23/2019	01-12-0001-01	1	0	0
9/23/2019	01-21-1001-14-12	1	55	17.64999962
9/23/2019	01-21-1002-14-12	2	0	25.29999924
9/23/2019	01-21-1003-14-12	1	0	13.89999962
9/23/2019	01-21-1004-14-12	1	59	20.29999924
9/23/2019	01-21-1004-15-12	1	0	13.89999962
9/23/2019	01-21-1005-14-12	1	0	22.64999962
9/23/2019	01-21-1006-15-12	3	110	63.68999863
9/23/2019	01-21-1008-14-12	1	0	23.02000046
9/23/2019	01-21-1009-14-12	1	0	19.54999924
9/23/2019	01-21-1010-14-00	2	100	35.29999924
9/23/2019	01-21-1010-14-12	1	0	17.64999962
9/23/2019	01-21-1013-14-12	2	79	35.94000053
9/23/2019	01-21-1014-14-12	1	50	14.5
9/23/2019	01-21-1015-14-12	1	50	12.75
9/23/2019	01-21-2001-14-12	2	89	65.04000092
9/23/2019	01-21-2004-14-12	1	0	23.95000076
9/23/2019	01-21-2005-14-12	1	0	31.64999962
9/23/2019	01-21-2012-14-12	1	0	16.20000076
9/23/2019	01-21-3001-14-12	1	0	17.64999962
9/23/2019	01-21-3002-14-12	1	0	19
9/23/2019	01-21-3003-14-12	1	0	24.57999992
9/23/2019	01-21-3005-14-12	1	0	14.25
9/23/2019	01-21-3006-14-12	1	78	26.93000031
9/23/2019	01-21-4002-14-12	1	57	19.93000031
9/23/2019	01-22-0103-01-00	1	0	27.5
9/23/2019	01-24-0005-01-02	1	0	5.650000095
9/23/2019	01-25-0001	1	0	14.10000038
9/23/2019	01-25-0003	5	0	26.25
9/23/2019	01-25-0004	1	0	12.85000038
9/23/2019	01-25-0005-01-04	1	0	10.80000019
9/23/2019	01-25-0008	1	32	12.60000038
9/23/2019	01-25-0008	1	0	12.60000038
9/23/2019	01-25-0008	1	32	11.81000042
9/23/2019	01-27-0301-01-12	1	0	9.050000191
9/23/2019	01-28-1301-03-12	5	80	35.85000038
9/23/2019	01-29-1301-01-00	1	32	5.5
9/23/2019	01-29-1303	1	11	2.599999905
9/23/2019	01-29-1304-01-00	1	8	2.099999905
9/23/2019	01-31-0101-01-00	1	20	7.940000057
9/23/2019	01-31-0103-01-00	2	40	9
9/23/2019	01-31-0104-01-00	1	25	6.199999809
9/23/2019	01-31-0106-01-00	2	50	13.60000038
9/23/2019	01-31-0107-01-12	1	69	20.05999947
9/23/2019	01-31-0108-01-00	1	22	5.25
9/23/2019	01-31-0109-01-00	4	88	25.39999962
9/23/2019	01-40-0401-00-00	2	36	10.80000019
9/23/2019	01-81-1601-00-00	4	24	12.80000019
9/23/2019	01-83-1601-00-00	3	27	12.90000057
9/23/2019	01-83-1602-00-00	3	18	11.94000006
9/23/2019	01-83-1603-00-00	1	14	2.75
9/23/2019	01-86-0001-00-00	16	1200	704
9/23/2019	02-31-0101-01-00	1	8	1.75
9/23/2019	02-31-0103-01-00	1	15	2.950000048
9/23/2019	02-31-0401-00-00	3	108	23.84999943
9/23/2019	02-32-0101-01-00	1	10	2.049999952
9/23/2019	02-32-0401-00-00	3	130	48.60000229
9/23/2019	02-32-1101-01-00	3	30	19.5
9/23/2019	02-40-0001-00-00	1	19	4.5
9/23/2019	02-40-0401-00-00	6	90	17.70000029
9/23/2019	02-54-1401-01-00	1	20	4.650000095
9/23/2019	02-61-1301-01-00	1	399	119
9/23/2019	02-63-0403-01-00	1	495	172
9/23/2019	02-63-0406-01-12	1	649	241.75
9/23/2019	02-71-1401-01-00	5	325	60
9/23/2019	02-71-1402-01-12	1	75	18.95000076
9/23/2019	02-71-1403-01-12	1	109	33.15000153
9/23/2019	02-73-0001-01-00	1	39	10.85000038
9/23/2019	02-73-0002-01-00	1	36	11
9/23/2019	02-73-1101	1	35	5.650000095
9/23/2019	02-73-1101	1	35	5.650000095
9/23/2019	02-73-1102	1	29	5.150000095
9/23/2019	02-73-1102	1	29	5.150000095
9/23/2019	02-73-1301	1	0	3.700000048
9/23/2019	02-73-1301	1	0	3.700000048
9/23/2019	02-73-1402-01-12	2	60	33.59999847
9/23/2019	02-74-0403-01-00	1	0	14.60000038
9/23/2019	02-74-0405-01	1	19	4.349999905
9/23/2019	02-74-1302-01-13	1	35	8.100000381
9/23/2019	03-17-0101	1	29	8
9/23/2019	03-22-0001-01-12	1	69	30.63999939
9/23/2019	03-22-0002-01-12	2	124	61.27999878
9/23/2019	03-22-0003-01-00	3	297	96
9/23/2019	03-22-0005-01-00	1	79	30
9/23/2019	03-22-0105-01-02	1	0	18
9/23/2019	03-22-0110-01-00	3	125	144
9/23/2019	03-25-0001-01-00	1	0	18
9/23/2019	03-25-0003-01-00	2	45	36
9/23/2019	03-25-0004-01-00	1	0	18
9/23/2019	03-25-0005-01-00	1	0	18
9/23/2019	03-32-0001-01-01	1	29	8.289999962
9/23/2019	03-32-0402-00-00	4	236	52.95999908
9/23/2019	03-35-0101-01-00	1	69	15
9/23/2019	03-51-0001-01-00	1	0	18
9/23/2019	03-64-0001-01-00	1	0	135
9/23/2019	03-64-0003-01-12	1	0	273
9/23/2019	03-64-0401-01-00	1	0	225
9/23/2019	03-72-1101	1	0	0
9/23/2019	03-72-1101	1	29	7.199999809
9/23/2019	03-72-1101	1	0	0
9/23/2019	03-72-1101	1	29	7.199999809
9/23/2019	03-72-1101	1	0	0
9/23/2019	03-74-0002-01-00	1	25	4.75
9/23/2019	03-74-0003-01-00	2	99	48
9/23/2019	03-81-0002-00-00	4	48	24
9/23/2019	03-81-0003-00	2	50	14.80000019
9/23/2019	03-81-0003-00	1	40	14.80000019
9/23/2019	03-81-0004-00	1	15	3.650000095
9/23/2019	03-81-0004-00	1	25	7.300000191
9/23/2019	03-81-1701-00	5	100	29.50000048
9/23/2019	03-81-1701-00	2	70	23.60000038
9/23/2019	03-85-0301-01-00	1	59	21
9/23/2019	04-12-0002-01	2	90	33.59999847
9/23/2019	04-12-0007-01	1	49	22.42000008
9/23/2019	04-12-0007-01	1	49	22.42000008
9/23/2019	04-12-0009-01	2	178	70.01999664
9/23/2019	04-12-0009-01	1	0	35.00999832
9/23/2019	04-12-0010-01	1	39	14.26000023
9/23/2019	04-12-0010-01	2	39	28.52000046
9/23/2019	04-12-0011-01	1	49	18.20000076
9/23/2019	04-12-0011-01	1	0	18.20000076
9/23/2019	04-15-0103	1	0	5.760000229
9/23/2019	04-15-0103	1	0	5.760000229
9/23/2019	04-15-0104-01-00	1	0	4.659999847
9/23/2019	04-15-0105-01-00	2	8	5.559999943
9/23/2019	04-31-0001-00	4	116	40.79999924
9/23/2019	04-31-0001-00	3	87	30.59999943
9/23/2019	04-31-0001-00	1	29	10.19999981
9/23/2019	04-31-0004-01	4	260	96
9/23/2019	04-31-0004-01	1	65	24
9/23/2019	04-32-0101-01-00	1	29	9.300000191
9/23/2019	04-82-0002-00-12	2	59	44.79999924
9/23/2019	06-81-1701-00-00	2	22	5.599999905
9/23/2019	06-81-1703-00-00	1	19	11.03999996
9/23/2019	07-81-0101-00	2	26	6.239999771
9/23/2019	07-81-1601-00	1	16	3.75
9/23/2019	08-28-0201-00-00	11	232.9300003	120.4499979
9/23/2019	08-31-0201-00-00	1	17	6.75
9/23/2019	08-31-0203-00-00	5	80	30
9/23/2019	08-34-0209-00-00	2	50	22.95999908
9/23/2019	11-11-0031-00	3	120	31.65000057
9/23/2019	11-11-0031-00	2	80	21.10000038
9/23/2019	11-11-0031-00	2	80	21.10000038
9/23/2019	11-11-0031-02	1	25	4.400000095
9/23/2019	11-11-0031-02	1	25	4.400000095
9/23/2019	11-11-0031-03	2	50	8.800000191
9/23/2019	11-11-0031-03	1	25	4.400000095
9/23/2019	11-11-0032-00	1	55	13.13000011
9/23/2019	11-11-0032-02	1	29	5.690000057
9/23/2019	11-11-0032-02	1	0	5.690000057
9/23/2019	11-11-0032-03	1	0	5.690000057
9/23/2019	11-11-0033-00	1	40	12.35000038
9/23/2019	11-11-0033-00	1	40	12.35000038
9/23/2019	11-11-0034-02	1	29	5.840000153
9/23/2019	11-11-0035-02	1	32	6.599999905
9/23/2019	11-11-0037-00	1	74	23.69000053
9/23/2019	11-11-0037-02	1	39	10.97000027
9/23/2019	11-11-0037-03	2	78	21.94000053
9/23/2019	13-81-0101-00-00	1	12	6
9/23/2019	17-24-0101-00	1	25	7.53000021
9/23/2019	17-24-0105-11-00	1	0	14.25
9/23/2019	21-13-0001	1	10	2.950000048
9/23/2019	21-13-0001	1	10	2.950000048
9/23/2019	21-13-0001	1	10	2.950000048
9/23/2019	23-82-0101-01-00	2	84	24.76000023
9/23/2019	23-82-1301-01-00	2	32	9.760000229
9/23/2019	37-84-0201-01-00	3	37	55.13999748
9/23/2019	38-12-0001-01	1	0	23.55999947
9/23/2019	38-12-0001-01	1	49	23.55999947
9/23/2019	38-31-0001-00-12	3	135	48.95999908
9/23/2019	38-51-0101-01-00	3	297	112.2599945
9/23/2019	38-81-0001-00-00	4	0	12.47999954
9/23/2019	40-33-0001-00-00	2	198	71.94000244
9/23/2019	40-54-0001-01-00	1	79	23.96999931
9/23/2019	40-74-0001-01-00	1	29	10.77000046
9/23/2019	41-89-0001-13-00	150	0	217.9799974
9/23/2019	43-85-0003-01-01	2	50	45
9/23/2019	46-15-0001-01	1	19	6
9/24/2019	01-21-1001-14-12	1	0	13.89999962
9/24/2019	01-21-1004-14-12	3	59	60.89999771
9/24/2019	01-21-1005-14-12	1	59	22.64999962
9/24/2019	01-21-1008-14-12	1	59	23.02000046
9/24/2019	01-21-1010-14-00	2	100	35.29999924
9/24/2019	01-21-1012-14-12	1	50	11.72000027
9/24/2019	01-21-1013-14-12	1	79	19.94000053
9/24/2019	01-21-2001-14-12	1	89	32.52000046
9/24/2019	01-21-2006-14-12	1	0	27.17000008
9/24/2019	01-24-0101-01	2	70	17.54000092
9/24/2019	01-24-0202-00-12	1	29	11.01000023
9/24/2019	01-24-0303-01	1	17	3
9/24/2019	01-25-0001	1	48	14.30000019
9/24/2019	01-25-0005	1	0	9.149999619
9/24/2019	01-25-0006	1	0	13.30000019
9/24/2019	01-25-0009-01-12	1	0	13.30000019
9/24/2019	01-28-1301-03-12	6	96	43.02000046
9/24/2019	01-29-1304-01-00	1	8	2.099999905
9/24/2019	01-31-0101-01-00	6	0	47.64000034
9/24/2019	01-31-0103-01-00	3	0	13.5
9/24/2019	01-31-0105-01-00	9	45.57999992	59.39999914
9/24/2019	01-31-0107-01-12	2	138	40.11999893
9/24/2019	01-31-0109-01-00	2	44	12.69999981
9/24/2019	01-32-0101-01-12	1	0	1.799999952
9/24/2019	01-40-0401-00-00	3	54	16.20000029
9/24/2019	01-81-1601-00-00	5	32	16.00000024
9/24/2019	01-83-1601-00-00	4	36	17.20000076
9/24/2019	01-83-1603-00-00	1	14	2.75
9/24/2019	01-86-0001-00-00	11	825	484
9/24/2019	02-31-0101-01-00	6	8.31000042	10.5
9/24/2019	02-31-0401-00-00	1	0	7.949999809
9/24/2019	02-32-0101-01-00	2	20	4.099999905
9/24/2019	02-32-0401-00-00	1	0	16.20000076
9/24/2019	02-40-0001-00-00	4	76	18
9/24/2019	02-40-0301-01-12	2	24	5.980000019
9/24/2019	02-40-0401-00-00	2	30	5.900000095
9/24/2019	02-62-0401-01-12	1	0	37.84000015
9/24/2019	02-62-1401-01-00	1	0	9.75
9/24/2019	02-63-0402-01-12	1	0	24
9/24/2019	02-63-0403-01-00	2	550.1900024	344
9/24/2019	02-63-0406-01-12	1	649	241.75
9/24/2019	02-63-1301-01-00	1	0	6.400000095
9/24/2019	02-63-1403-01-00	1	0	32.40000153
9/24/2019	02-71-1401-01-00	2	130	24
9/24/2019	02-71-1402-01-12	3	150	56.85000229
9/24/2019	02-71-1403-01-12	1	0	33.15000153
9/24/2019	02-72-0101-01-00	1	22	5.599999905
9/24/2019	02-73-0002-01-00	1	36	11
9/24/2019	02-73-1101	1	0	5.650000095
9/24/2019	02-73-1102	1	0	5.150000095
9/24/2019	02-73-1102	1	0	5.150000095
9/24/2019	02-73-1301	1	0	3.700000048
9/24/2019	02-73-1302-01-00	2	8	2.799999952
9/24/2019	02-73-1402-01-12	1	60	16.79999924
9/24/2019	02-74-0401-01-00	1	8	1.5
9/24/2019	02-74-0405-01	1	19	4.349999905
9/24/2019	02-74-1302-01-13	1	0	4.050000191
9/24/2019	03-17-0101	2	0	16
9/24/2019	03-17-0101	1	29	8
9/24/2019	03-17-0101	2	0	16
9/24/2019	03-17-0101	2	0	16
9/24/2019	03-22-0002-01-12	1	62	30.63999939
9/24/2019	03-22-0003-01-03	3	357	112.5
9/24/2019	03-22-0005-01-00	5	395	150
9/24/2019	03-22-0110-01-00	7	500	336
9/24/2019	03-22-0111-01-01	1	0	23
9/24/2019	03-24-0302-01-00	1	25	10.5
9/24/2019	03-25-0001-01-00	1	0	18
9/24/2019	03-25-0003-01-00	1	0	18
9/24/2019	03-31-0102-01-00	2	36	8
9/24/2019	03-32-0001-01-01	2	58	16.57999992
9/24/2019	03-32-0402-00-00	3	118	39.71999931
9/24/2019	03-35-0101-01-00	3	207	45
9/24/2019	03-40-0101-01-12	1	19	6
9/24/2019	03-72-0501-01-00	1	0	3.200000048
9/24/2019	03-72-1101	1	0	0
9/24/2019	03-72-1101	1	29	7.199999809
9/24/2019	03-74-0002-01-00	2	50	9.5
9/24/2019	03-81-0001-00-03	1	8	1.850000024
9/24/2019	03-81-0003-00	1	15	5.369999886
9/24/2019	03-81-0003-00	4	100	29.60000038
9/24/2019	03-81-0004-00	1	15	3.650000095
9/24/2019	03-81-1701-00	2	0	11.80000019
9/24/2019	03-81-1701-00	7	140	41.30000067
9/24/2019	03-81-1701-00	1	35	11.80000019
9/24/2019	03-81-1702-00-00	1	0	3
9/24/2019	04-12-0002-01	1	0	16.79999924
9/24/2019	04-12-0002-01	2	0	33.59999847
9/24/2019	04-12-0002-01	2	0	33.59999847
9/24/2019	04-12-0004	1	0	22.51000023
9/24/2019	04-12-0005-01	1	0	23.92000008
9/24/2019	04-12-0006-01	1	0	22.06999969
9/24/2019	04-12-0006-01	1	50.86999893	22.06999969
9/24/2019	04-12-0007-01	2	0	44.84000015
9/24/2019	04-12-0007-01	1	49	22.42000008
9/24/2019	04-12-0011-01	1	49	18.20000076
9/24/2019	04-12-0011-01	2	98	36.40000153
9/24/2019	04-15-0103	2	0	11.52000046
9/24/2019	04-15-0105-01-00	1	8.31000042	2.779999971
9/24/2019	04-31-0001-00	1	29	10.19999981
